"0,00000";"0,00000";"0,43817"
"0,10000";"0,28876";"0,43252"
"0,20000";"0,60503";"0,41148"
"0,30000";"0,90584";"0,42564"
"0,40000";"1,20606";"0,42367"
"0,50000";"1,50627";"0,43717"
"0,60000";"1,80601";"0,42615"
"0,70000";"2,10599";"0,42944"
"0,80000";"2,40597";"0,42918"
"0,90000";"2,70607";"0,42102"
"1,00000";"3,00617";"0,43947"
"1,10000";"3,30626";"0,43576"
"1,20000";"3,60589";"0,42967"
"1,30000";"3,90587";"0,43919"
"1,40000";"4,20608";"0,43214"
"1,50000";"4,50618";"0,43562"
"1,60000";"4,80604";"0,43328"
"1,70000";"5,10602";"0,43353"
"1,80000";"5,40588";"0,43982"
"1,90000";"5,70598";"0,44274"
"2,00000";"6,00584";"0,42613"
"2,10000";"6,30594";"0,42548"
"2,20000";"6,60603";"0,44196"
"2,30000";"6,90613";"0,42803"
"2,40000";"7,20599";"0,43191"
"2,50000";"7,50597";"0,42164"
"2,60000";"7,80619";"0,42835"
"2,70000";"8,10617";"0,43418"
"2,80000";"8,40591";"0,44495"
"2,90000";"8,70589";"0,43074"
"3,00000";"9,00610";"0,43681"
"3,10000";"9,30597";"0,42627"
"3,20000";"9,60606";"0,43372"
"3,30000";"9,90581";"0,43192"
"3,40000";"10,20602";"0,43956"
"3,50000";"10,50612";"0,43532"
"3,60000";"10,80563";"0,43878"
"3,70000";"11,10619";"0,43004"
"3,80000";"11,40594";"0,42742"
"3,90000";"11,70603";"0,44558"
"4,00000";"12,00625";"0,43550"
"4,10000";"12,30599";"0,42998"
"4,20000";"12,60585";"0,44130"
"4,30000";"12,90595";"0,43876"
"4,40000";"13,20593";"0,43680"
"4,50000";"13,50603";"0,42278"
"4,60000";"13,80601";"0,43369"
"4,70000";"14,10575";"0,45727"
"4,80000";"14,40597";"0,43855"
"4,90000";"14,70606";"0,44036"
"5,00000";"15,00604";"0,45028"
"5,10000";"15,30602";"0,44930"
"5,20000";"15,60612";"0,43951"
"5,30000";"15,90586";"0,43606"
"5,40000";"16,20596";"0,43311"
"5,50000";"16,50606";"0,42661"
"5,60000";"16,80592";"0,42919"
"5,70000";"17,10613";"0,43355"
"5,80000";"17,40623";"0,42214"
"5,90000";"17,70597";"0,42111"
"6,00000";"18,00595";"0,43918"
"6,10000";"18,30617";"0,41872"
"6,20000";"18,60591";"0,45351"
"6,30000";"18,90589";"0,42886"
"6,40000";"19,20587";"0,43068"
