Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"-0,01032"
"0,10000";"0,28888";"-0,01231"
"0,20000";"0,60515";"-0,00999"
"0,30000";"0,90619";"-0,01572"
"0,40000";"1,20606";"-0,00706"
"0,50000";"1,50603";"-0,02478"
"0,60000";"1,80613";"-0,02538"
"0,70000";"2,10599";"-0,01767"
"0,80000";"2,40609";"-0,02126"
"0,90000";"2,70583";"-0,01997"
"1,00000";"3,00605";"-0,01309"
"1,10000";"3,30615";"-0,01466"
"1,20000";"3,60589";"0,00032"
"1,30000";"3,90563";"-0,03015"
"1,40000";"4,20620";"-0,01283"
"1,50000";"4,50606";"-0,01402"
"1,60000";"4,80604";"-0,00322"
"1,70000";"5,10590";"-0,02100"
"1,80000";"5,40588";"-0,01683"
"1,90000";"5,70574";"-0,00676"
"2,00000";"6,00596";"-0,00230"
"2,10000";"6,30617";"-0,00058"
"2,20000";"6,60615";"-0,01355"
"2,30000";"6,90590";"-0,02204"
"2,40000";"7,20587";"-0,00110"
"2,50000";"7,50609";"-0,01504"
"2,60000";"7,80607";"-0,00223"
"2,70000";"8,10605";"-0,00790"
"2,80000";"8,40591";"-0,00666"
"2,90000";"8,70601";"-0,00287"
"3,00000";"9,00575";"-0,00409"
"3,10000";"9,30597";"-0,01820"
"3,20000";"9,60606";"-0,01732"
"3,30000";"9,90604";"-0,02585"
"3,40000";"10,20614";"-0,02149"
"3,50000";"10,50612";"0,00058"
"3,60000";"10,80586";"-0,02451"
"3,70000";"11,10631";"-0,00536"
"3,80000";"11,40594";"0,00313"
"3,90000";"11,70603";"-0,01630"
"4,00000";"12,00625";"-0,00719"
"4,10000";"12,30587";"-0,00541"
"4,20000";"12,60585";"-0,00601"
"4,30000";"12,90607";"-0,01298"
"4,40000";"13,20581";"-0,01295"
"4,50000";"13,50603";"-0,01896"
"4,60000";"13,80612";"-0,03024"
"4,70000";"14,10598";"-0,03081"
"4,80000";"14,40573";"-0,03091"
"4,90000";"14,70595";"-0,00581"
"5,00000";"15,00628";"-0,00256"
"5,10000";"15,30614";"-0,02337"
"5,20000";"15,60600";"-0,00693"
"5,30000";"15,90586";"-0,02189"
"5,40000";"16,20596";"-0,00556"
"5,50000";"16,50594";"-0,02683"
"5,60000";"16,80615";"-0,02876"
"5,70000";"17,10625";"-0,02669"
"5,80000";"17,40611";"-0,02132"
"5,90000";"17,70585";"-0,00148"
"6,00000";"18,00595";"-0,01822"
"6,10000";"18,30605";"-0,00552"
"6,20000";"18,60603";"-0,00666"
"6,30000";"18,90589";"-0,00670"
"6,40000";"19,20599";"-0,01085"
"6,50000";"19,50585";"-0,01449"
"6,60000";"19,80606";"-0,00237"
"6,70000";"20,10592";"-0,02133"
"6,80000";"20,40590";"-0,03246"
"6,90000";"20,70612";"-0,01314"
"7,00000";"21,00586";"-0,01878"
"7,10000";"21,30596";"-0,01243"
"7,20000";"21,60617";"-0,02060"
"7,30000";"21,90603";"-0,00064"
"7,40000";"22,20601";"-0,01314"
"7,50000";"22,50611";"-0,01801"
"7,60000";"22,80597";"-0,00886"
"7,70000";"23,10595";"-0,01538"
"7,80000";"23,40605";"-0,02330"
"7,90000";"23,70591";"-0,00747"
"8,00000";"24,00601";"-0,01861"
"8,10000";"24,30598";"-0,02926"
"8,20000";"24,60585";"0,00334"
"8,30000";"24,90583";"-0,01337"
"8,40000";"25,20592";"-0,00141"
"8,50000";"25,50602";"-0,01710"
"8,60000";"25,80612";"-0,01681"
"8,70000";"26,10598";"-0,01362"
"8,80000";"26,40608";"-0,01070"
"8,90000";"26,70606";"-0,01017"
"9,00000";"27,00603";"-0,01489"
"9,10000";"27,30602";"-0,01207"
"9,20000";"27,60635";"-0,03278"
"9,30000";"27,90609";"-0,01854"
"9,40000";"28,20572";"-0,02793"
"9,50000";"28,50593";"-0,02346"
"9,60000";"28,80614";"-0,01453"
"9,70000";"29,10601";"-0,01486"
"9,80000";"29,40599";"-0,00835"
"9,90000";"29,70597";"-0,01887"
"10,00000";"30,00571";"-0,01298"
"10,00200";"30,01173";"-0,01155"
"10,10200";"30,11267";"-0,01940"
"10,20200";"30,20416";"-0,02353"
"10,30200";"30,30392";"-0,02204"
"10,40200";"30,40414";"-0,00693"
"10,50200";"30,50414";"-0,01316"
"10,60200";"30,60390";"0,01001"
"10,70200";"30,70401";"-0,01616"
"10,80200";"30,80424";"-0,01336"
"10,90200";"30,90387";"-0,00278"
"11,00200";"31,00387";"-0,02031"
"11,10200";"31,10433";"-0,01510"
"11,20200";"31,20397";"-0,02669"
"11,30200";"31,30420";"-0,00341"
"11,40200";"31,40396";"-0,01222"
"11,50200";"31,50383";"-0,02004"
"11,60200";"31,60395";"-0,01437"
"11,70200";"31,70405";"-0,01530"
"11,80200";"31,80405";"-0,01585"
"11,90200";"31,90404";"-0,02597"
"12,00200";"32,00427";"-0,02715"
"12,10200";"32,10415";"-0,02198"
"12,20200";"32,20378";"-0,00729"
"12,30200";"32,30413";"-0,02048"
"12,40200";"32,40413";"-0,02419"
"12,50200";"32,50400";"-0,02065"
"12,60200";"32,60399";"-0,00819"
"12,70200";"32,70422";"-0,00709"
