Hardness 1 : Kraftbei  Hardness 1;"357,83566";N
A1 : A1;"0,90834";J
A2 : A2;"0,09740";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,10723";
Chewiness : Chewiness;"0,02515";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"-0,02421"
"0,01000";"0,00094";"-0,02247"
"0,02000";"0,00578";"-0,01326"
"0,03000";"0,01641";"0,00551"
"0,04000";"0,03152";"0,02835"
"0,05000";"0,04923";"0,04224"
"0,06000";"0,06812";"0,04569"
"0,07000";"0,08736";"0,03943"
"0,08000";"0,10625";"0,02563"
"0,09000";"0,12467";"0,00918"
"0,10000";"0,14249";"-0,00542"
"0,11000";"0,15973";"-0,01498"
"0,12000";"0,17638";"-0,01933"
"0,13000";"0,19278";"-0,01737"
"0,14000";"0,20896";"-0,01692"
"0,15000";"0,22478";"-0,01714"
"0,16000";"0,24048";"-0,01497"
"0,17000";"0,25606";"-0,01288"
"0,18000";"0,27141";"-0,01263"
"0,19000";"0,28664";"-0,00697"
"0,20000";"0,30199";"0,00343"
"0,21000";"0,31722";"0,01247"
"0,22000";"0,33244";"0,01433"
"0,23000";"0,34756";"0,00997"
"0,24000";"0,36267";"-0,00128"
"0,25000";"0,37766";"-0,00575"
"0,26000";"0,39265";"-0,01023"
"0,27000";"0,40765";"-0,00751"
"0,28000";"0,42288";"0,00141"
"0,29000";"0,43799";"0,00204"
"0,30000";"0,45310";"-0,00225"
"0,31000";"0,46821";"-0,00650"
"0,32000";"0,48308";"-0,00082"
"0,33000";"0,49808";"0,00283"
"0,34000";"0,51307";"-0,00359"
"0,35000";"0,52794";"-0,01016"
"0,36000";"0,54306";"-0,00368"
"0,37000";"0,55805";"0,01026"
"0,38000";"0,57316";"0,01297"
"0,39000";"0,58815";"0,01417"
"0,40000";"0,60315";"0,00217"
"0,41000";"0,61814";"0,00012"
"0,42000";"0,63313";"-0,00298"
"0,43000";"0,64812";"-0,00781"
"0,44000";"0,66324";"-0,01045"
"0,45000";"0,67823";"-0,00829"
"0,46000";"0,69310";"-0,00327"
"0,47000";"0,70810";"0,00138"
"0,48000";"0,72297";"0,00375"
"0,49000";"0,73808";"0,01143"
"0,50000";"0,75308";"0,01688"
"0,51000";"0,76807";"0,01392"
"0,52000";"0,78318";"0,01090"
"0,53000";"0,79817";"0,00804"
"0,54000";"0,81328";"0,01026"
"0,55000";"0,82816";"0,00978"
"0,56000";"0,84303";"0,00279"
"0,57000";"0,85791";"-0,00394"
"0,58000";"0,87290";"-0,01296"
"0,59000";"0,88778";"-0,01997"
"0,60000";"0,90277";"-0,02201"
"0,61000";"0,91788";"-0,01585"
"0,62000";"0,93299";"-0,01128"
"0,63000";"0,94799";"-0,00525"
"0,64000";"0,96298";"-0,00697"
"0,65000";"0,97797";"-0,01370"
"0,66000";"0,99297";"-0,02371"
"0,67000";"1,00808";"-0,02764"
"0,68000";"1,02319";"-0,02277"
"0,69000";"1,03818";"-0,00818"
"0,70000";"1,05329";"-0,00110"
"0,71000";"1,06828";"0,00484"
"0,72000";"1,08328";"0,00368"
"0,73000";"1,09815";"-0,00327"
"0,74000";"1,11303";"-0,00375"
"0,75000";"1,12814";"-0,00237"
"0,76000";"1,14313";"0,00336"
"0,77000";"1,15801";"0,01015"
"0,78000";"1,17300";"0,00683"
"0,79000";"1,18788";"0,00060"
"0,80000";"1,20287";"-0,00494"
"0,81000";"1,21786";"-0,00991"
"0,82000";"1,23285";"-0,01256"
"0,83000";"1,24797";"-0,00869"
"0,84000";"1,26308";"-0,00717"
"0,85000";"1,27807";"-0,01043"
"0,86000";"1,29306";"-0,00790"
"0,87000";"1,30794";"-0,00640"
"0,88000";"1,32293";"-0,00146"
"0,89000";"1,33792";"0,00157"
"0,90000";"1,35280";"0,01103"
"0,91000";"1,36791";"0,01615"
"0,92000";"1,38302";"0,01606"
"0,93000";"1,39813";"0,01724"
"0,94000";"1,41313";"0,01838"
"0,95000";"1,42812";"0,01559"
"0,96000";"1,44311";"0,00536"
"0,97000";"1,45799";"-0,00408"
"0,98000";"1,47298";"-0,01069"
"0,99000";"1,48797";"-0,01494"
"1,00000";"1,50308";"-0,01062"
"1,01000";"1,51808";"-0,00632"
"1,02000";"1,53307";"0,00041"
"1,03000";"1,54818";"-0,00031"
"1,04000";"1,56306";"-0,00286"
"1,05000";"1,57805";"-0,00612"
"1,06000";"1,59304";"-0,00194"
"1,07000";"1,60815";"0,00775"
"1,08000";"1,62315";"0,00774"
"1,09000";"1,63814";"0,00481"
"1,10000";"1,65301";"0,00525"
"1,11000";"1,66801";"0,00652"
"1,12000";"1,68312";"0,01407"
"1,13000";"1,69799";"0,02224"
"1,14000";"1,71299";"0,01874"
"1,15000";"1,72810";"0,00711"
"1,16000";"1,74309";"0,00539"
"1,17000";"1,75808";"0,00932"
"1,18000";"1,77308";"0,01402"
"1,19000";"1,78795";"0,01425"
"1,20000";"1,80294";"0,01651"
"1,21000";"1,81782";"0,01903"
"1,22000";"1,83281";"0,01650"
"1,23000";"1,84792";"0,01288"
"1,24000";"1,86292";"0,01624"
"1,25000";"1,87791";"0,01978"
"1,26000";"1,89302";"0,01787"
"1,27000";"1,90801";"0,01486"
"1,28000";"1,92301";"0,00811"
"1,29000";"1,93788";"-0,00164"
"1,30000";"1,95288";"-0,00939"
"1,31000";"1,96775";"-0,01377"
"1,32000";"1,98274";"-0,01339"
"1,33000";"1,99785";"-0,00735"
"1,34000";"2,01273";"0,00467"
"1,35000";"2,02772";"0,01193"
"1,36000";"2,04272";"0,01341"
"1,37000";"2,05771";"0,01001"
"1,38000";"2,07282";"0,00666"
"1,39000";"2,08793";"-0,00165"
"1,40000";"2,10292";"-0,00992"
"1,41000";"2,11792";"-0,00777"
"1,42000";"2,13303";"-0,00604"
"1,43000";"2,14802";"0,00048"
"1,44000";"2,16313";"0,00465"
"1,45000";"2,17824";"0,00800"
"1,46000";"2,19335";"0,01479"
"1,47000";"2,20847";"0,01269"
"1,48000";"2,22346";"0,01311"
"1,49000";"2,23845";"0,00856"
"1,50000";"2,25344";"-0,00016"
"1,51000";"2,26832";"0,00316"
"1,52000";"2,28319";"0,00134"
"1,53000";"2,29795";"0,00088"
"1,54000";"2,31294";"0,00334"
"1,55000";"2,32782";"-0,00493"
"1,56000";"2,34269";"-0,00453"
"1,57000";"2,35769";"-0,00004"
"1,58000";"2,37268";"0,00321"
"1,59000";"2,38767";"0,00173"
"1,60000";"2,40267";"0,00360"
