Hardness 1 : Kraftbei  Hardness 1;"365,23419";N
A1 : A1;"0,96651";J
A2 : A2;"0,10235";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,10590";
Chewiness : Chewiness;"0,02535";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"-0,00051"
"0,01000";"0,00094";"0,00555"
"0,02000";"0,00578";"0,01984"
"0,03000";"0,01653";"0,03615"
"0,04000";"0,03164";"0,05276"
"0,05000";"0,04947";"0,05885"
"0,06000";"0,06835";"0,05444"
"0,07000";"0,08748";"0,04084"
"0,08000";"0,10637";"0,02354"
"0,09000";"0,12467";"0,01178"
"0,10000";"0,14249";"0,00455"
"0,11000";"0,15961";"-0,00096"
"0,12000";"0,17638";"-0,00373"
"0,13000";"0,19267";"-0,00628"
"0,14000";"0,20884";"-0,00382"
"0,15000";"0,22478";"-0,00215"
"0,16000";"0,24048";"0,00428"
"0,17000";"0,25606";"0,01046"
"0,18000";"0,27141";"0,00943"
"0,19000";"0,28676";"0,00241"
"0,20000";"0,30199";"-0,00154"
"0,21000";"0,31733";"-0,00517"
"0,22000";"0,33244";"-0,00581"
"0,23000";"0,34767";"0,00025"
"0,24000";"0,36267";"0,00719"
"0,25000";"0,37778";"0,01116"
"0,26000";"0,39277";"0,00983"
"0,27000";"0,40776";"0,00042"
"0,28000";"0,42288";"-0,00400"
"0,29000";"0,43787";"-0,00218"
"0,30000";"0,45298";"0,00697"
"0,31000";"0,46809";"0,01294"
"0,32000";"0,48308";"0,02362"
"0,33000";"0,49808";"0,02079"
"0,34000";"0,51295";"0,01016"
"0,35000";"0,52794";"0,01016"
"0,36000";"0,54294";"0,01367"
"0,37000";"0,55805";"0,00920"
"0,38000";"0,57304";"0,00216"
"0,39000";"0,58815";"-0,00828"
"0,40000";"0,60315";"-0,00928"
"0,41000";"0,61814";"-0,00628"
"0,42000";"0,63313";"-0,00253"
"0,43000";"0,64812";"-0,00166"
"0,44000";"0,66324";"0,00227"
"0,45000";"0,67823";"0,00805"
"0,46000";"0,69310";"0,01146"
"0,47000";"0,70798";"0,00912"
"0,48000";"0,72297";"0,01121"
"0,49000";"0,73808";"0,01817"
"0,50000";"0,75308";"0,02416"
"0,51000";"0,76807";"0,02447"
