Hardness 1 : Kraftbei  Hardness 1;"383,96918";N
A1 : A1;"0,98170";J
A2 : A2;"0,12313";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,12543";
Chewiness : Chewiness;"0,03157";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,01000"
"0,01000";"0,00094";"0,00488"
"0,02000";"0,00567";"0,01056"
"0,03000";"0,01629";"0,02858"
"0,04000";"0,03140";"0,04400"
"0,05000";"0,04911";"0,05410"
"0,06000";"0,06812";"0,05408"
"0,07000";"0,08724";"0,04344"
"0,08000";"0,10625";"0,03729"
"0,09000";"0,12455";"0,02749"
"0,10000";"0,14238";"0,01872"
"0,11000";"0,15961";"0,00212"
"0,12000";"0,17626";"-0,00038"
"0,13000";"0,19278";"-0,00361"
"0,14000";"0,20884";"-0,01055"
"0,15000";"0,22478";"-0,01078"
"0,16000";"0,24048";"-0,00289"
"0,17000";"0,25594";"-0,00489"
"0,18000";"0,27141";"-0,00799"
"0,19000";"0,28664";"-0,00885"
"0,20000";"0,30199";"-0,01016"
"0,21000";"0,31722";"-0,01392"
"0,22000";"0,33244";"-0,01366"
"0,23000";"0,34756";"-0,01069"
"0,24000";"0,36267";"-0,00557"
"0,25000";"0,37766";"-0,00709"
"0,26000";"0,39265";"-0,00774"
"0,27000";"0,40765";"-0,01018"
"0,28000";"0,42288";"-0,00690"
"0,29000";"0,43799";"-0,00521"
"0,30000";"0,45310";"-0,00379"
"0,31000";"0,46821";"0,00069"
"0,32000";"0,48308";"-0,00161"
"0,33000";"0,49808";"0,00156"
"0,34000";"0,51295";"0,00708"
"0,35000";"0,52794";"0,00653"
"0,36000";"0,54306";"0,00434"
"0,37000";"0,55805";"-0,00065"
"0,38000";"0,57304";"-0,00092"
"0,39000";"0,58803";"0,00703"
"0,40000";"0,60303";"0,01574"
"0,41000";"0,61814";"0,01910"
"0,42000";"0,63313";"0,02792"
"0,43000";"0,64812";"0,02695"
"0,44000";"0,66324";"0,01827"
"0,45000";"0,67823";"0,00955"
"0,46000";"0,69310";"0,00070"
"0,47000";"0,70810";"-0,00198"
"0,48000";"0,72309";"0,00126"
"0,49000";"0,73820";"0,01059"
"0,50000";"0,75308";"0,01431"
"0,51000";"0,76819";"0,01650"
"0,52000";"0,78318";"0,00936"
"0,53000";"0,79817";"0,00620"
"0,54000";"0,81328";"0,00806"
"0,55000";"0,82816";"0,00859"
"0,56000";"0,84303";"0,01225"
"0,57000";"0,85803";"0,01834"
"0,58000";"0,87290";"0,01557"
"0,59000";"0,88778";"0,01257"
"0,60000";"0,90277";"0,00637"
"0,61000";"0,91788";"-0,00788"
"0,62000";"0,93288";"-0,01235"
"0,63000";"0,94799";"-0,01472"
"0,64000";"0,96298";"-0,01289"
"0,65000";"0,97797";"-0,01513"
"0,66000";"0,99297";"-0,01742"
"0,67000";"1,00796";"-0,01374"
"0,68000";"1,02295";"-0,00797"
"0,69000";"1,03806";"-0,00061"
"0,70000";"1,05317";"0,00264"
"0,71000";"1,06817";"0,00505"
"0,72000";"1,08316";"-0,00318"
"0,73000";"1,09815";"-0,00034"
