Hardness 1 : Kraftbei  Hardness 1;"379,40439";N
A1 : A1;"0,95495";J
A2 : A2;"0,13193";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,13815";
Chewiness : Chewiness;"0,03436";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,00121"
"0,01000";"0,00094";"-0,00494"
"0,02000";"0,00567";"-0,00239"
"0,03000";"0,01629";"0,01344"
"0,04000";"0,03140";"0,03082"
"0,05000";"0,04911";"0,04627"
"0,06000";"0,06812";"0,04426"
"0,07000";"0,08736";"0,03299"
"0,08000";"0,10613";"0,02237"
"0,09000";"0,12455";"0,01035"
"0,10000";"0,14238";"-0,00366"
"0,11000";"0,15961";"-0,01360"
"0,12000";"0,17638";"-0,01507"
"0,13000";"0,19278";"-0,01847"
"0,14000";"0,20896";"-0,01155"
"0,15000";"0,22490";"-0,01256"
"0,16000";"0,24048";"-0,01235"
"0,17000";"0,25606";"-0,00546"
"0,18000";"0,27141";"-0,00815"
"0,19000";"0,28676";"-0,00901"
"0,20000";"0,30199";"-0,00382"
"0,21000";"0,31722";"0,00017"
"0,22000";"0,33244";"0,00106"
"0,23000";"0,34756";"0,00577"
"0,24000";"0,36267";"0,00654"
"0,25000";"0,37766";"0,00422"
"0,26000";"0,39277";"0,00287"
"0,27000";"0,40776";"0,00573"
"0,28000";"0,42288";"0,00672"
"0,29000";"0,43799";"0,00393"
"0,30000";"0,45310";"0,00141"
"0,31000";"0,46821";"0,00198"
"0,32000";"0,48320";"0,00015"
"0,33000";"0,49819";"0,00336"
"0,34000";"0,51307";"0,00668"
"0,35000";"0,52806";"0,00713"
"0,36000";"0,54306";"0,00404"
"0,37000";"0,55817";"-0,00260"
"0,38000";"0,57316";"-0,00431"
"0,39000";"0,58815";"0,00086"
"0,40000";"0,60315";"0,00393"
"0,41000";"0,61814";"0,00603"
"0,42000";"0,63313";"0,00635"
"0,43000";"0,64812";"0,00640"
"0,44000";"0,66312";"0,00729"
"0,45000";"0,67811";"0,00442"
"0,46000";"0,69310";"0,00296"
"0,47000";"0,70798";"0,00465"
"0,48000";"0,72297";"0,00561"
"0,49000";"0,73808";"0,00222"
"0,50000";"0,75308";"-0,00599"
"0,51000";"0,76807";"-0,01579"
"0,52000";"0,78318";"-0,01810"
"0,53000";"0,79829";"-0,01518"
"0,54000";"0,81328";"-0,01021"
"0,55000";"0,82816";"0,00141"
"0,56000";"0,84303";"0,00278"
"0,57000";"0,85803";"0,00592"
"0,58000";"0,87290";"0,00277"
"0,59000";"0,88790";"0,00156"
"0,60000";"0,90289";"-0,00023"
"0,61000";"0,91800";"-0,00632"
"0,62000";"0,93299";"-0,01051"
"0,63000";"0,94810";"-0,00891"
"0,64000";"0,96310";"-0,00256"
"0,65000";"0,97809";"-0,00585"
"0,66000";"0,99297";"-0,00580"
"0,67000";"1,00808";"-0,00808"
"0,68000";"1,02307";"-0,00660"
"0,69000";"1,03806";"-0,00016"
"0,70000";"1,05317";"0,00423"
"0,71000";"1,06805";"0,00077"
"0,72000";"1,08316";"0,00196"
"0,73000";"1,09815";"0,00472"
"0,74000";"1,11303";"-0,00311"
"0,75000";"1,12814";"-0,01230"
"0,76000";"1,14313";"-0,01403"
"0,77000";"1,15801";"-0,01058"
"0,78000";"1,17300";"-0,00410"
"0,79000";"1,18799";"-0,00187"
"0,80000";"1,20299";"-0,00070"
"0,81000";"1,21798";"0,00273"
"0,82000";"1,23285";"0,00856"
"0,83000";"1,24797";"0,00473"
"0,84000";"1,26308";"0,00351"
"0,85000";"1,27819";"0,01802"
"0,86000";"1,29306";"0,02760"
"0,87000";"1,30806";"0,02845"
"0,88000";"1,32305";"0,02252"
"0,89000";"1,33792";"0,01683"
"0,90000";"1,35292";"0,01730"
"0,91000";"1,36791";"0,01260"
"0,92000";"1,38302";"-0,00333"
"0,93000";"1,39813";"-0,00575"
"0,94000";"1,41313";"-0,00595"
"0,95000";"1,42800";"-0,01102"
"0,96000";"1,44311";"-0,00742"
"0,97000";"1,45799";"-0,00789"
"0,98000";"1,47298";"-0,00903"
"0,99000";"1,48797";"-0,00692"
"1,00000";"1,50297";"-0,00537"
"1,01000";"1,51808";"0,00400"
"1,02000";"1,53307";"0,01128"
"1,03000";"1,54794";"0,00971"
"1,04000";"1,56306";"0,00327"
"1,05000";"1,57805";"-0,00390"
"1,06000";"1,59304";"-0,00155"
"1,07000";"1,60803";"-0,00534"
"1,08000";"1,62315";"-0,01073"
"1,09000";"1,63814";"-0,01327"
"1,10000";"1,65301";"-0,00922"
"1,11000";"1,66801";"0,00063"
"1,12000";"1,68312";"0,00908"
"1,13000";"1,69811";"0,00431"
"1,14000";"1,71299";"-0,00460"
"1,15000";"1,72810";"0,00003"
"1,16000";"1,74309";"0,00206"
"1,17000";"1,75820";"0,00095"
"1,18000";"1,77308";"-0,00765"
"1,19000";"1,78795";"-0,00962"
"1,20000";"1,80306";"-0,00516"
"1,21000";"1,81794";"-0,00488"
"1,22000";"1,83293";"-0,00397"
"1,23000";"1,84792";"-0,00024"
"1,24000";"1,86303";"0,00437"
"1,25000";"1,87803";"0,01017"
"1,26000";"1,89302";"0,00849"
"1,27000";"1,90801";"0,00393"
"1,28000";"1,92301";"0,00179"
"1,29000";"1,93800";"0,00314"
"1,30000";"1,95288";"0,00123"
"1,31000";"1,96787";"0,00691"
"1,32000";"1,98286";"0,00708"
"1,33000";"1,99785";"0,00516"
"1,34000";"2,01285";"-0,00202"
"1,35000";"2,02784";"-0,00585"
"1,36000";"2,04283";"-0,00384"
"1,37000";"2,05771";"-0,00506"
