Hardness 1 : Kraftbei  Hardness 1;"372,30215";N
A1 : A1;"0,94354";J
A2 : A2;"0,13868";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,14698";
Chewiness : Chewiness;"0,03587";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,01580"
"0,01000";"0,00094";"0,01625"
"0,02000";"0,00578";"0,02364"
"0,03000";"0,01641";"0,04209"
"0,04000";"0,03164";"0,05673"
"0,05000";"0,04923";"0,06201"
"0,06000";"0,06812";"0,05168"
"0,07000";"0,08736";"0,04584"
"0,08000";"0,10613";"0,03585"
"0,09000";"0,12455";"0,03259"
"0,10000";"0,14238";"0,02650"
"0,11000";"0,15961";"0,01692"
"0,12000";"0,17626";"0,01316"
"0,13000";"0,19278";"0,00767"
"0,14000";"0,20884";"0,00806"
"0,15000";"0,22466";"0,01401"
"0,16000";"0,24036";"0,01946"
"0,17000";"0,25594";"0,02175"
"0,18000";"0,27141";"0,02376"
"0,19000";"0,28664";"0,02528"
"0,20000";"0,30199";"0,03079"
"0,21000";"0,31733";"0,03170"
"0,22000";"0,33244";"0,02383"
"0,23000";"0,34756";"0,01836"
"0,24000";"0,36267";"0,01928"
"0,25000";"0,37778";"0,02506"
"0,26000";"0,39277";"0,03372"
"0,27000";"0,40776";"0,03448"
"0,28000";"0,42288";"0,03184"
"0,29000";"0,43787";"0,02508"
"0,30000";"0,45298";"0,02620"
"0,31000";"0,46809";"0,03095"
"0,32000";"0,48308";"0,02951"
"0,33000";"0,49808";"0,02780"
"0,34000";"0,51295";"0,02879"
"0,35000";"0,52794";"0,02950"
"0,36000";"0,54294";"0,03810"
"0,37000";"0,55805";"0,03895"
"0,38000";"0,57304";"0,03331"
"0,39000";"0,58803";"0,02902"
"0,40000";"0,60303";"0,02053"
"0,41000";"0,61814";"0,02099"
"0,42000";"0,63313";"0,02080"
"0,43000";"0,64812";"0,01716"
"0,44000";"0,66324";"0,00874"
"0,45000";"0,67823";"0,00411"
"0,46000";"0,69310";"0,00700"
"0,47000";"0,70810";"0,01450"
"0,48000";"0,72297";"0,01608"
"0,49000";"0,73808";"0,01662"
"0,50000";"0,75308";"0,01820"
"0,51000";"0,76807";"0,02472"
"0,52000";"0,78318";"0,03200"
"0,53000";"0,79806";"0,03517"
"0,54000";"0,81317";"0,02712"
"0,55000";"0,82816";"0,02057"
"0,56000";"0,84303";"0,01787"
"0,57000";"0,85803";"0,01694"
"0,58000";"0,87290";"0,01795"
"0,59000";"0,88790";"0,01683"
"0,60000";"0,90289";"0,01929"
"0,61000";"0,91800";"0,02436"
"0,62000";"0,93311";"0,02071"
"0,63000";"0,94810";"0,02060"
"0,64000";"0,96310";"0,01649"
"0,65000";"0,97809";"0,01290"
"0,66000";"0,99297";"0,01571"
"0,67000";"1,00796";"0,02207"
"0,68000";"1,02307";"0,01892"
"0,69000";"1,03806";"0,01646"
"0,70000";"1,05317";"0,01948"
"0,71000";"1,06817";"0,02142"
"0,72000";"1,08304";"0,01976"
"0,73000";"1,09815";"0,02337"
"0,74000";"1,11303";"0,02381"
"0,75000";"1,12802";"0,02586"
"0,76000";"1,14313";"0,02431"
"0,77000";"1,15801";"0,02363"
"0,78000";"1,17300";"0,02182"
"0,79000";"1,18799";"0,02544"
"0,80000";"1,20299";"0,02801"
"0,81000";"1,21798";"0,02589"
"0,82000";"1,23297";"0,02206"
"0,83000";"1,24797";"0,01346"
"0,84000";"1,26319";"0,00849"
"0,85000";"1,27819";"0,01144"
"0,86000";"1,29306";"0,01466"
"0,87000";"1,30806";"0,02099"
"0,88000";"1,32305";"0,01781"
"0,89000";"1,33792";"0,02288"
"0,90000";"1,35292";"0,02891"
"0,91000";"1,36791";"0,03608"
"0,92000";"1,38302";"0,04248"
"0,93000";"1,39813";"0,03489"
"0,94000";"1,41301";"0,02836"
"0,95000";"1,42800";"0,02654"
"0,96000";"1,44299";"0,02472"
"0,97000";"1,45799";"0,02822"
"0,98000";"1,47298";"0,02895"
"0,99000";"1,48797";"0,02676"
"1,00000";"1,50308";"0,02611"
"1,01000";"1,51808";"0,02405"
"1,02000";"1,53307";"0,02806"
"1,03000";"1,54806";"0,03200"
"1,04000";"1,56306";"0,03675"
"1,05000";"1,57805";"0,04012"
"1,06000";"1,59304";"0,03863"
"1,07000";"1,60803";"0,04085"
"1,08000";"1,62315";"0,04128"
"1,09000";"1,63814";"0,03811"
"1,10000";"1,65301";"0,03508"
"1,11000";"1,66801";"0,03124"
"1,12000";"1,68300";"0,02204"
"1,13000";"1,69799";"0,02185"
"1,14000";"1,71299";"0,02187"
"1,15000";"1,72810";"0,01776"
"1,16000";"1,74309";"0,01769"
"1,17000";"1,75808";"0,02093"
"1,18000";"1,77308";"0,02546"
