Hardness 1 : Kraftbei  Hardness 1;"348,90213";N
A1 : A1;"0,88344";J
A2 : A2;"0,12231";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,13845";
Chewiness : Chewiness;"0,03166";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,32863"
"0,01000";"0,00083";"0,32002"
"0,02000";"0,00543";"0,32665"
"0,03000";"0,01582";"0,34988"
"0,04000";"0,03081";"0,36444"
"0,05000";"0,04840";"0,36475"
"0,06000";"0,06729";"0,35800"
"0,07000";"0,08653";"0,34905"
"0,08000";"0,10542";"0,34041"
"0,09000";"0,12396";"0,33159"
"0,10000";"0,14190";"0,32368"
"0,11000";"0,15914";"0,31089"
"0,12000";"0,17602";"0,30781"
"0,13000";"0,19255";"0,30324"
"0,14000";"0,20872";"0,29666"
"0,15000";"0,22466";"0,28886"
"0,16000";"0,24036";"0,29289"
"0,17000";"0,25594";"0,30155"
"0,18000";"0,27129";"0,30851"
"0,19000";"0,28664";"0,31941"
"0,20000";"0,30187";"0,32823"
"0,21000";"0,31722";"0,32931"
"0,22000";"0,33244";"0,32478"
"0,23000";"0,34756";"0,31929"
"0,24000";"0,36267";"0,31308"
"0,25000";"0,37766";"0,31153"
"0,26000";"0,39265";"0,31579"
"0,27000";"0,40765";"0,31834"
"0,28000";"0,42276";"0,32104"
"0,29000";"0,43799";"0,31793"
"0,30000";"0,45310";"0,31491"
"0,31000";"0,46809";"0,32388"
"0,32000";"0,48308";"0,33089"
"0,33000";"0,49808";"0,33256"
"0,34000";"0,51295";"0,32951"
"0,35000";"0,52794";"0,32570"
"0,36000";"0,54294";"0,32357"
"0,37000";"0,55805";"0,32414"
"0,38000";"0,57304";"0,32866"
"0,39000";"0,58803";"0,33064"
"0,40000";"0,60315";"0,32492"
"0,41000";"0,61814";"0,31613"
"0,42000";"0,63313";"0,31260"
"0,43000";"0,64812";"0,32192"
"0,44000";"0,66324";"0,32623"
"0,45000";"0,67823";"0,31927"
"0,46000";"0,69322";"0,31831"
"0,47000";"0,70810";"0,31807"
"0,48000";"0,72309";"0,31512"
"0,49000";"0,73808";"0,30525"
"0,50000";"0,75308";"0,30718"
"0,51000";"0,76807";"0,32377"
"0,52000";"0,78318";"0,33217"
"0,53000";"0,79817";"0,33259"
"0,54000";"0,81328";"0,33387"
"0,55000";"0,82816";"0,33743"
"0,56000";"0,84303";"0,33357"
"0,57000";"0,85791";"0,32620"
"0,58000";"0,87290";"0,31941"
"0,59000";"0,88790";"0,32011"
"0,60000";"0,90289";"0,31911"
"0,61000";"0,91800";"0,31398"
"0,62000";"0,93299";"0,31794"
"0,63000";"0,94810";"0,32294"
"0,64000";"0,96310";"0,32995"
"0,65000";"0,97809";"0,33007"
"0,66000";"0,99308";"0,32513"
"0,67000";"1,00808";"0,32225"
"0,68000";"1,02307";"0,32412"
"0,69000";"1,03818";"0,33145"
"0,70000";"1,05317";"0,33354"
"0,71000";"1,06817";"0,32788"
"0,72000";"1,08316";"0,32652"
"0,73000";"1,09815";"0,32734"
"0,74000";"1,11303";"0,33460"
"0,75000";"1,12802";"0,33904"
"0,76000";"1,14313";"0,33344"
"0,77000";"1,15801";"0,32820"
"0,78000";"1,17300";"0,32361"
"0,79000";"1,18799";"0,31644"
"0,80000";"1,20299";"0,31453"
"0,81000";"1,21798";"0,31082"
"0,82000";"1,23297";"0,31303"
"0,83000";"1,24808";"0,31375"
"0,84000";"1,26308";"0,32161"
"0,85000";"1,27819";"0,33495"
"0,86000";"1,29306";"0,34176"
"0,87000";"1,30794";"0,33796"
"0,88000";"1,32293";"0,32684"
"0,89000";"1,33781";"0,32230"
"0,90000";"1,35280";"0,31966"
"0,91000";"1,36791";"0,32485"
"0,92000";"1,38290";"0,33335"
"0,93000";"1,39801";"0,32947"
"0,94000";"1,41313";"0,32919"
"0,95000";"1,42812";"0,32922"
"0,96000";"1,44311";"0,33500"
"0,97000";"1,45810";"0,33736"
"0,98000";"1,47298";"0,33636"
"0,99000";"1,48797";"0,33028"
"1,00000";"1,50308";"0,31821"
"1,01000";"1,51819";"0,32045"
"1,02000";"1,53319";"0,32941"
"1,03000";"1,54806";"0,33172"
"1,04000";"1,56306";"0,32699"
"1,05000";"1,57805";"0,32535"
"1,06000";"1,59304";"0,32095"
"1,07000";"1,60803";"0,32675"
"1,08000";"1,62315";"0,33347"
"1,09000";"1,63814";"0,32746"
"1,10000";"1,65313";"0,31249"
"1,11000";"1,66813";"0,31055"
"1,12000";"1,68312";"0,31829"
"1,13000";"1,69799";"0,32789"
"1,14000";"1,71299";"0,33587"
"1,15000";"1,72798";"0,33961"
"1,16000";"1,74297";"0,34091"
"1,17000";"1,75797";"0,34482"
"1,18000";"1,77296";"0,33743"
"1,19000";"1,78795";"0,32555"
"1,20000";"1,80294";"0,32338"
"1,21000";"1,81782";"0,32691"
"1,22000";"1,83281";"0,32263"
"1,23000";"1,84792";"0,31199"
"1,24000";"1,86303";"0,31184"
"1,25000";"1,87803";"0,31906"
"1,26000";"1,89302";"0,33115"
"1,27000";"1,90801";"0,33222"
"1,28000";"1,92301";"0,33238"
"1,29000";"1,93800";"0,32238"
"1,30000";"1,95299";"0,31127"
"1,31000";"1,96787";"0,30676"
"1,32000";"1,98298";"0,30731"
"1,33000";"1,99785";"0,30832"
"1,34000";"2,01273";"0,32012"
"1,35000";"2,02772";"0,32673"
"1,36000";"2,04272";"0,32367"
"1,37000";"2,05771";"0,32338"
"1,38000";"2,07282";"0,32662"
"1,39000";"2,08793";"0,32352"
"1,40000";"2,10292";"0,32610"
"1,41000";"2,11803";"0,33323"
"1,42000";"2,13303";"0,33308"
"1,43000";"2,14802";"0,33184"
"1,44000";"2,16301";"0,33648"
"1,45000";"2,17813";"0,34272"
"1,46000";"2,19312";"0,33496"
"1,47000";"2,20811";"0,33298"
"1,48000";"2,22322";"0,33034"
"1,49000";"2,23810";"0,32555"
"1,50000";"2,25309";"0,32936"
"1,51000";"2,26797";"0,33324"
"1,52000";"2,28272";"0,33609"
"1,53000";"2,29760";"0,33606"
"1,54000";"2,31247";"0,34293"
"1,55000";"2,32758";"0,34687"
"1,56000";"2,34269";"0,34371"
"1,57000";"2,35769";"0,34043"
"1,58000";"2,37280";"0,33781"
"1,59000";"2,38791";"0,33524"
"1,60000";"2,40290";"0,33047"
"1,61000";"2,41801";"0,32392"
"1,62000";"2,43301";"0,32286"
"1,63000";"2,44824";"0,31811"
"1,64000";"2,46335";"0,31683"
"1,65000";"2,47834";"0,31659"
"1,66000";"2,49357";"0,31351"
"1,67000";"2,50844";"0,31857"
"1,68000";"2,52344";"0,32433"
"1,69000";"2,53819";"0,33128"
"1,70000";"2,55307";"0,33521"
"1,71000";"2,56806";"0,33156"
"1,72000";"2,58294";"0,33189"
"1,73000";"2,59793";"0,33421"
"1,74000";"2,61292";"0,33423"
"1,75000";"2,62792";"0,34263"
"1,76000";"2,64267";"0,34580"
"1,77000";"2,65767";"0,34049"
"1,78000";"2,67254";"0,33861"
"1,79000";"2,68742";"0,34414"
"1,80000";"2,70229";"0,34409"
"1,81000";"2,71728";"0,34844"
"1,82000";"2,73228";"0,35246"
"1,83000";"2,74739";"0,35264"
"1,84000";"2,76250";"0,34493"
"1,85000";"2,77749";"0,33629"
"1,86000";"2,79272";"0,33297"
"1,87000";"2,80795";"0,33533"
"1,88000";"2,82306";"0,33155"
"1,89000";"2,83817";"0,33125"
"1,90000";"2,85328";"0,33287"
"1,91000";"2,86828";"0,33189"
"1,92000";"2,88315";"0,32587"
"1,93000";"2,89826";"0,32618"
"1,94000";"2,91326";"0,32452"
"1,95000";"2,92837";"0,32872"
"1,96000";"2,94348";"0,34015"
"1,97000";"2,95847";"0,35228"
"1,98000";"2,97347";"0,35039"
"1,99000";"2,98846";"0,34092"
"2,00000";"3,00333";"0,33906"
"2,01000";"3,01821";"0,33778"
"2,02000";"3,03320";"0,34165"
"2,03000";"3,04819";"0,34774"
"2,04000";"3,06307";"0,34635"
"2,05000";"3,07806";"0,33975"
"2,06000";"3,09306";"0,33376"
"2,07000";"3,10805";"0,33596"
"2,08000";"3,12292";"0,34355"
"2,09000";"3,13780";"0,34207"
"2,10000";"3,15256";"0,33913"
"2,11000";"3,16743";"0,33603"
"2,12000";"3,18231";"0,33624"
"2,13000";"3,19730";"0,33720"
"2,14000";"3,21253";"0,33673"
"2,15000";"3,22752";"0,33669"
"2,16000";"3,24275";"0,33023"
"2,17000";"3,25786";"0,32546"
"2,18000";"3,27309";"0,33034"
"2,19000";"3,28808";"0,33123"
"2,20000";"3,30308";"0,33698"
"2,21000";"3,31819";"0,33645"
"2,22000";"3,33330";"0,33002"
"2,23000";"3,34829";"0,32832"
"2,24000";"3,36340";"0,32546"
"2,25000";"3,37851";"0,32610"
"2,26000";"3,39363";"0,32038"
"2,27000";"3,40862";"0,31531"
"2,28000";"3,42361";"0,31245"
"2,29000";"3,43860";"0,30788"
"2,30000";"3,45348";"0,30536"
"2,31000";"3,46824";"0,30812"
"2,32000";"3,48323";"0,31014"
"2,33000";"3,49810";"0,31271"
"2,34000";"3,51310";"0,32141"
"2,35000";"3,52797";"0,32225"
"2,36000";"3,54297";"0,32273"
"2,37000";"3,55784";"0,31605"
"2,38000";"3,57272";"0,30862"
"2,39000";"3,58747";"0,31010"
"2,40000";"3,60235";"0,30788"
"2,41000";"3,61734";"0,30449"
"2,42000";"3,63233";"0,30698"
"2,43000";"3,64733";"0,31030"
"2,44000";"3,66244";"0,31474"
"2,45000";"3,67767";"0,32432"
"2,46000";"3,69278";"0,32523"
"2,47000";"3,70777";"0,32454"
"2,48000";"3,72276";"0,32395"
"2,49000";"3,73787";"0,32495"
"2,50000";"3,75299";"0,32520"
"2,51000";"3,76810";"0,32916"
"2,52000";"3,78333";"0,32843"
"2,53000";"3,79844";"0,32144"
"2,54000";"3,81355";"0,31363"
"2,55000";"3,82854";"0,31290"
"2,56000";"3,84353";"0,32090"
"2,57000";"3,85841";"0,32307"
"2,58000";"3,87340";"0,32271"
"2,59000";"3,88840";"0,32594"
"2,60000";"3,90339";"0,33591"
"2,61000";"3,91850";"0,33151"
"2,62000";"3,93349";"0,32628"
"2,63000";"3,94837";"0,32549"
"2,64000";"3,96336";"0,32615"
"2,65000";"3,97835";"0,33062"
"2,66000";"3,99323";"0,33736"
"2,67000";"4,00810";"0,33560"
"2,68000";"4,02298";"0,33029"
"2,69000";"4,03774";"0,32623"
"2,70000";"4,05261";"0,32326"
"2,71000";"4,06749";"0,32466"
"2,72000";"4,08248";"0,32346"
"2,73000";"4,09747";"0,31877"
"2,74000";"4,11258";"0,31460"
"2,75000";"4,12769";"0,31393"
"2,76000";"4,14281";"0,31461"
"2,77000";"4,15792";"0,31498"
"2,78000";"4,17303";"0,31166"
"2,79000";"4,18802";"0,32090"
"2,80000";"4,20313";"0,32782"
"2,81000";"4,21848";"0,33570"
"2,82000";"4,23359";"0,34182"
"2,83000";"4,24858";"0,34051"
"2,84000";"4,26358";"0,33537"
"2,85000";"4,27845";"0,33534"
"2,86000";"4,29333";"0,32876"
"2,87000";"4,30820";"0,32545"
"2,88000";"4,32319";"0,32192"
"2,89000";"4,33819";"0,32005"
"2,90000";"4,35330";"0,31989"
"2,91000";"4,36829";"0,31570"
"2,92000";"4,38328";"0,31723"
"2,93000";"4,39828";"0,31489"
"2,94000";"4,41315";"0,31205"
"2,95000";"4,42803";"0,31152"
"2,96000";"4,44302";"0,31362"
"2,97000";"4,45801";"0,32152"
"2,98000";"4,47289";"0,32557"
"2,99000";"4,48776";"0,32202"
"3,00000";"4,50276";"0,32444"
"3,01000";"4,51775";"0,32825"
"3,02000";"4,53263";"0,33061"
"3,03000";"4,54762";"0,33250"
"3,04000";"4,56273";"0,33563"
"3,05000";"4,57784";"0,33179"
"3,06000";"4,59283";"0,32839"
"3,07000";"4,60783";"0,33636"
"3,08000";"4,62282";"0,34518"
"3,09000";"4,63781";"0,35328"
"3,10000";"4,65292";"0,35343"
"3,11000";"4,66804";"0,33586"
"3,12000";"4,68315";"0,31984"
"3,13000";"4,69826";"0,30795"
"3,14000";"4,71325";"0,30805"
"3,15000";"4,72836";"0,31965"
"3,16000";"4,74324";"0,32627"
"3,17000";"4,75823";"0,32860"
"3,18000";"4,77310";"0,33177"
"3,19000";"4,78810";"0,32449"
"3,20000";"4,80297";"0,31970"
"3,21000";"4,81820";"0,32168"
"3,22000";"4,83319";"0,32305"
"3,23000";"4,84819";"0,32921"
"3,24000";"4,86306";"0,33297"
"3,25000";"4,87806";"0,33448"
"3,26000";"4,89281";"0,33158"
"3,27000";"4,90769";"0,33243"
"3,28000";"4,92268";"0,33831"
"3,29000";"4,93767";"0,34601"
"3,30000";"4,95267";"0,35516"
"3,31000";"4,96778";"0,35939"
"3,32000";"4,98289";"0,36012"
"3,33000";"4,99788";"0,36605"
"3,34000";"5,01299";"0,37512"
"3,35000";"5,02799";"0,37700"
"3,36000";"5,04298";"0,37510"
"3,37000";"5,05821";"0,37930"
"3,38000";"5,07332";"0,38323"
"3,39000";"5,08831";"0,39511"
"3,40000";"5,10331";"0,40321"
"3,41000";"5,11830";"0,41546"
"3,42000";"5,13329";"0,43261"
"3,43000";"5,14828";"0,45537"
"3,44000";"5,16328";"0,47081"
"3,45000";"5,17827";"0,48350"
"3,46000";"5,19326";"0,49523"
"3,47000";"5,20826";"0,50401"
"3,48000";"5,22313";"0,51896"
"3,49000";"5,23801";"0,53775"
"3,50000";"5,25288";"0,55768"
"3,51000";"5,26788";"0,57901"
"3,52000";"5,28299";"0,60142"
"3,53000";"5,29798";"0,62059"
"3,54000";"5,31297";"0,64069"
"3,55000";"5,32785";"0,65570"
"3,56000";"5,34284";"0,67556"
"3,57000";"5,35772";"0,69917"
"3,58000";"5,37271";"0,72182"
"3,59000";"5,38770";"0,74123"
"3,60000";"5,40281";"0,75896"
"3,61000";"5,41792";"0,77960"
"3,62000";"5,43303";"0,80408"
"3,63000";"5,44803";"0,83289"
"3,64000";"5,46302";"0,85608"
"3,65000";"5,47801";"0,88178"
"3,66000";"5,49301";"0,91211"
"3,67000";"5,50812";"0,94437"
"3,68000";"5,52311";"0,97966"
"3,69000";"5,53822";"1,00727"
"3,70000";"5,55322";"1,02334"
"3,71000";"5,56809";"1,03742"
"3,72000";"5,58308";"1,06381"
"3,73000";"5,59796";"1,09790"
"3,74000";"5,61295";"1,13680"
"3,75000";"5,62806";"1,17026"
"3,76000";"5,64306";"1,20096"
"3,77000";"5,65793";"1,22784"
"3,78000";"5,67304";"1,25106"
"3,79000";"5,68815";"1,26843"
"3,80000";"5,70315";"1,29724"
"3,81000";"5,71814";"1,33544"
"3,82000";"5,73313";"1,37954"
"3,83000";"5,74813";"1,42392"
"3,84000";"5,76324";"1,46794"
