Hardness 1 : Kraftbei  Hardness 1;"351,10733";N
A1 : A1;"0,94410";J
A2 : A2;"0,11392";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,12067";
Chewiness : Chewiness;"0,02777";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,28204"
"0,01000";"0,00083";"0,29661"
"0,02000";"0,00531";"0,30688"
"0,03000";"0,01570";"0,32344"
"0,04000";"0,03058";"0,33964"
"0,05000";"0,04817";"0,34432"
"0,06000";"0,06706";"0,33098"
"0,07000";"0,08630";"0,31255"
"0,08000";"0,10531";"0,29755"
"0,09000";"0,12384";"0,29284"
"0,10000";"0,14178";"0,29021"
"0,11000";"0,15914";"0,28708"
"0,12000";"0,17602";"0,28790"
"0,13000";"0,19255";"0,28693"
"0,14000";"0,20872";"0,29000"
"0,15000";"0,22466";"0,28889"
"0,16000";"0,24036";"0,29006"
"0,17000";"0,25594";"0,28527"
"0,18000";"0,27141";"0,28080"
"0,19000";"0,28664";"0,28411"
"0,20000";"0,30199";"0,28497"
"0,21000";"0,31733";"0,28103"
"0,22000";"0,33244";"0,27334"
"0,23000";"0,34756";"0,26541"
"0,24000";"0,36255";"0,26229"
"0,25000";"0,37766";"0,25892"
"0,26000";"0,39265";"0,26183"
"0,27000";"0,40765";"0,27522"
"0,28000";"0,42288";"0,28548"
"0,29000";"0,43787";"0,29164"
"0,30000";"0,45310";"0,29381"
"0,31000";"0,46809";"0,28728"
"0,32000";"0,48308";"0,27995"
"0,33000";"0,49808";"0,28002"
"0,34000";"0,51307";"0,28264"
"0,35000";"0,52794";"0,28032"
"0,36000";"0,54306";"0,28305"
"0,37000";"0,55805";"0,28415"
"0,38000";"0,57304";"0,29072"
"0,39000";"0,58815";"0,29771"
"0,40000";"0,60315";"0,29576"
"0,41000";"0,61814";"0,28826"
"0,42000";"0,63313";"0,29038"
"0,43000";"0,64812";"0,29572"
"0,44000";"0,66324";"0,29397"
"0,45000";"0,67823";"0,28841"
"0,46000";"0,69310";"0,27938"
"0,47000";"0,70810";"0,27478"
"0,48000";"0,72309";"0,27492"
"0,49000";"0,73808";"0,27796"
"0,50000";"0,75308";"0,29095"
"0,51000";"0,76807";"0,29843"
"0,52000";"0,78318";"0,29922"
"0,53000";"0,79817";"0,29409"
"0,54000";"0,81328";"0,29763"
"0,55000";"0,82816";"0,29693"
"0,56000";"0,84303";"0,29703"
"0,57000";"0,85803";"0,29455"
"0,58000";"0,87302";"0,29571"
"0,59000";"0,88790";"0,29316"
"0,60000";"0,90301";"0,29111"
"0,61000";"0,91800";"0,29341"
"0,62000";"0,93311";"0,29741"
"0,63000";"0,94810";"0,29511"
"0,64000";"0,96298";"0,28960"
"0,65000";"0,97797";"0,29131"
"0,66000";"0,99297";"0,29158"
"0,67000";"1,00796";"0,28691"
"0,68000";"1,02307";"0,28433"
"0,69000";"1,03818";"0,27958"
"0,70000";"1,05317";"0,28184"
"0,71000";"1,06817";"0,28392"
"0,72000";"1,08316";"0,28764"
"0,73000";"1,09815";"0,29592"
"0,74000";"1,11303";"0,30045"
"0,75000";"1,12814";"0,29517"
"0,76000";"1,14313";"0,28972"
"0,77000";"1,15801";"0,27932"
"0,78000";"1,17300";"0,27681"
"0,79000";"1,18799";"0,27728"
