Hardness 1 : Kraftbei  Hardness 1;"420,50778";N
A1 : A1;"1,16454";J
A2 : A2;"0,09375";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,08051";
Chewiness : Chewiness;"0,02219";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,00715"
"0,01000";"0,00094";"0,00757"
"0,02000";"0,00567";"0,01882"
"0,03000";"0,01629";"0,03960"
"0,04000";"0,03140";"0,05071"
"0,05000";"0,04911";"0,04884"
"0,06000";"0,06800";"0,04389"
"0,07000";"0,08724";"0,03492"
"0,08000";"0,10613";"0,02510"
"0,09000";"0,12455";"0,01224"
"0,10000";"0,14238";"0,00229"
"0,11000";"0,15961";"-0,00577"
"0,12000";"0,17638";"-0,00703"
"0,13000";"0,19290";"-0,00566"
"0,14000";"0,20896";"-0,00157"
"0,15000";"0,22490";"0,01160"
"0,16000";"0,24060";"0,02354"
"0,17000";"0,25606";"0,02659"
"0,18000";"0,27153";"0,02528"
"0,19000";"0,28676";"0,01992"
"0,20000";"0,30199";"0,01530"
"0,21000";"0,31733";"0,00686"
"0,22000";"0,33256";"-0,00647"
"0,23000";"0,34767";"-0,00691"
"0,24000";"0,36267";"0,00001"
"0,25000";"0,37778";"0,00872"
"0,26000";"0,39265";"0,01304"
"0,27000";"0,40776";"0,00883"
"0,28000";"0,42288";"0,00646"
"0,29000";"0,43799";"0,01183"
"0,30000";"0,45310";"0,01301"
"0,31000";"0,46809";"0,00892"
"0,32000";"0,48308";"0,00297"
"0,33000";"0,49808";"-0,00225"
"0,34000";"0,51295";"-0,00159"
"0,35000";"0,52794";"-0,00378"
"0,36000";"0,54306";"-0,00910"
"0,37000";"0,55805";"-0,00991"
"0,38000";"0,57304";"-0,00288"
"0,39000";"0,58803";"0,00681"
"0,40000";"0,60315";"0,02015"
"0,41000";"0,61814";"0,02367"
"0,42000";"0,63301";"0,01626"
"0,43000";"0,64801";"-0,00043"
"0,44000";"0,66312";"-0,00646"
"0,45000";"0,67811";"-0,01131"
"0,46000";"0,69310";"-0,00599"
"0,47000";"0,70810";"0,00309"
"0,48000";"0,72309";"0,00494"
"0,49000";"0,73808";"0,00064"
"0,50000";"0,75308";"-0,00393"
"0,51000";"0,76819";"-0,00381"
"0,52000";"0,78330";"0,00245"
"0,53000";"0,79829";"0,00195"
