Hardness 1 : Kraftbei  Hardness 1;"444,31415";N
A1 : A1;"1,14033";J
A2 : A2;"0,11402";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,09999";
Chewiness : Chewiness;"0,02912";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,00714"
"0,01000";"0,00094";"0,00772"
"0,02000";"0,00578";"0,01904"
"0,03000";"0,01629";"0,04527"
"0,04000";"0,03152";"0,06394"
"0,05000";"0,04911";"0,06344"
"0,06000";"0,06800";"0,04646"
"0,07000";"0,08724";"0,02735"
"0,08000";"0,10613";"0,01232"
"0,09000";"0,12455";"0,00746"
"0,10000";"0,14238";"0,00402"
"0,11000";"0,15961";"0,00012"
"0,12000";"0,17638";"0,00473"
"0,13000";"0,19278";"0,01429"
"0,14000";"0,20896";"0,01653"
"0,15000";"0,22478";"0,01015"
"0,16000";"0,24048";"0,00017"
"0,17000";"0,25606";"-0,00043"
"0,18000";"0,27141";"0,00300"
"0,19000";"0,28664";"0,01017"
"0,20000";"0,30199";"0,01580"
"0,21000";"0,31722";"0,01506"
"0,22000";"0,33244";"0,00951"
"0,23000";"0,34756";"0,00393"
"0,24000";"0,36267";"-0,00788"
"0,25000";"0,37778";"-0,01195"
"0,26000";"0,39277";"-0,01180"
"0,27000";"0,40776";"-0,00287"
"0,28000";"0,42288";"0,00393"
"0,29000";"0,43799";"0,00731"
"0,30000";"0,45310";"0,01326"
"0,31000";"0,46809";"0,01469"
"0,32000";"0,48308";"0,01295"
"0,33000";"0,49808";"0,01594"
"0,34000";"0,51295";"0,01696"
"0,35000";"0,52794";"0,01018"
"0,36000";"0,54294";"0,00074"
"0,37000";"0,55805";"0,00012"
"0,38000";"0,57304";"-0,00056"
"0,39000";"0,58803";"-0,00518"
"0,40000";"0,60315";"-0,00451"
"0,41000";"0,61814";"0,00310"
"0,42000";"0,63313";"0,00886"
"0,43000";"0,64824";"0,01179"
"0,44000";"0,66324";"0,01910"
"0,45000";"0,67823";"0,02601"
"0,46000";"0,69322";"0,02556"
"0,47000";"0,70810";"0,01933"
"0,48000";"0,72309";"0,01494"
"0,49000";"0,73808";"0,01193"
"0,50000";"0,75308";"0,00381"
"0,51000";"0,76807";"0,00006"
"0,52000";"0,78318";"0,00152"
"0,53000";"0,79817";"0,00839"
"0,54000";"0,81317";"0,02047"
"0,55000";"0,82816";"0,02637"
"0,56000";"0,84303";"0,02640"
"0,57000";"0,85791";"0,02354"
"0,58000";"0,87278";"0,02373"
"0,59000";"0,88778";"0,01992"
"0,60000";"0,90289";"0,02200"
"0,61000";"0,91788";"0,02090"
"0,62000";"0,93299";"0,02655"
"0,63000";"0,94799";"0,02314"
"0,64000";"0,96298";"0,02183"
"0,65000";"0,97797";"0,02092"
"0,66000";"0,99297";"0,02272"
"0,67000";"1,00796";"0,01794"
"0,68000";"1,02295";"0,01458"
"0,69000";"1,03806";"0,01624"
"0,70000";"1,05306";"0,01596"
"0,71000";"1,06805";"0,00964"
"0,72000";"1,08316";"0,00091"
"0,73000";"1,09815";"-0,00007"
"0,74000";"1,11303";"-0,00252"
"0,75000";"1,12802";"-0,00798"
