Ergebnistabelle 1
;Fläche unter der Kurve;Maximale Kraft
;(J);(N)
1;"0,01395";"1,79390"
2;"0,01389";"1,73493"
3;"0,01235";"1,70708"

Ergebnistabelle 2
;Fläche unter der Kurve;Maximale Kraft
;(J);(N)
1;"0,01395";"1,79390"
2;"0,01389";"1,73493"
3;"0,01235";"1,70708"

