Ergebnistabelle 1
;Fläche unter der Kurve;Maximale Kraft
;(J);(N)
1;;"8,38304"
2;"0,09814";"8,24035"
3;"0,10398";"8,43943"
4;"0,10648";"8,71895"
5;;"8,31216"
6;"0,09536";"8,26558"

Ergebnistabelle 2
;Fläche unter der Kurve;Maximale Kraft
;(J);(N)
1;;"8,38304"
2;"0,09814";"8,24035"
3;"0,10398";"8,43943"
4;"0,10648";"8,71895"
5;;"8,31216"
6;"0,09536";"8,26558"

