Hardness 1 : Kraftbei  Hardness 1;"364,57867";N
A1 : A1;"0,95400";J
A2 : A2;"0,09069";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,09506";
Chewiness : Chewiness;"0,02272";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,08264"
"0,01000";"0,00094";"0,07890"
"0,02000";"0,00555";"0,08972"
"0,03000";"0,01617";"0,11776"
"0,04000";"0,03117";"0,13951"
"0,05000";"0,04888";"0,13856"
"0,06000";"0,06765";"0,13015"
"0,07000";"0,08689";"0,12145"
"0,08000";"0,10578";"0,10909"
"0,09000";"0,12431";"0,09388"
"0,10000";"0,14214";"0,08152"
"0,11000";"0,15938";"0,07406"
"0,12000";"0,17614";"0,07123"
"0,13000";"0,19267";"0,06451"
"0,14000";"0,20884";"0,05576"
"0,15000";"0,22478";"0,05950"
"0,16000";"0,24048";"0,06579"
"0,17000";"0,25594";"0,06587"
"0,18000";"0,27141";"0,06664"
"0,19000";"0,28676";"0,06859"
"0,20000";"0,30210";"0,07695"
"0,21000";"0,31733";"0,07906"
"0,22000";"0,33256";"0,07487"
"0,23000";"0,34767";"0,07606"
"0,24000";"0,36267";"0,07225"
"0,25000";"0,37766";"0,06291"
"0,26000";"0,39265";"0,06327"
"0,27000";"0,40776";"0,06753"
"0,28000";"0,42288";"0,07192"
"0,29000";"0,43787";"0,07590"
"0,30000";"0,45310";"0,07914"
"0,31000";"0,46821";"0,08701"
"0,32000";"0,48320";"0,09010"
"0,33000";"0,49808";"0,08914"
"0,34000";"0,51307";"0,08711"
"0,35000";"0,52794";"0,08145"
"0,36000";"0,54306";"0,08377"
"0,37000";"0,55817";"0,08198"
"0,38000";"0,57316";"0,08124"
"0,39000";"0,58815";"0,08756"
"0,40000";"0,60315";"0,09257"
"0,41000";"0,61814";"0,08672"
"0,42000";"0,63313";"0,08036"
"0,43000";"0,64812";"0,07633"
"0,44000";"0,66324";"0,07451"
"0,45000";"0,67823";"0,07201"
"0,46000";"0,69322";"0,07518"
"0,47000";"0,70810";"0,08011"
"0,48000";"0,72297";"0,08060"
"0,49000";"0,73808";"0,07452"
"0,50000";"0,75296";"0,06789"
"0,51000";"0,76807";"0,07224"
"0,52000";"0,78318";"0,07997"
"0,53000";"0,79817";"0,08502"
"0,54000";"0,81328";"0,08332"
"0,55000";"0,82828";"0,08648"
"0,56000";"0,84315";"0,08650"
"0,57000";"0,85803";"0,08482"
"0,58000";"0,87302";"0,08257"
"0,59000";"0,88790";"0,08185"
"0,60000";"0,90289";"0,08223"
"0,61000";"0,91800";"0,08261"
"0,62000";"0,93311";"0,08078"
"0,63000";"0,94810";"0,07981"
"0,64000";"0,96310";"0,08125"
"0,65000";"0,97797";"0,08705"
"0,66000";"0,99297";"0,08909"
"0,67000";"1,00796";"0,08405"
"0,68000";"1,02307";"0,08133"
"0,69000";"1,03806";"0,08580"
"0,70000";"1,05306";"0,08613"
"0,71000";"1,06817";"0,08920"
"0,72000";"1,08316";"0,08569"
"0,73000";"1,09815";"0,07525"
"0,74000";"1,11303";"0,07012"
