;lard/csv/lardSpecimen_RawData_6.csv;lard/csv/lardSpecimen_RawData_3.csv;lard/csv/lardSpecimen_RawData_1.csv;lard/csv/lardSpecimen_RawData_5.csv;lard/csv/lardSpecimen_RawData_9.csv;lard/csv/lardSpecimen_RawData_7.csv;lard/csv/lardSpecimen_RawData_4.csv;lard/csv/lardSpecimen_RawData_8.csv;lard/csv/lardSpecimen_RawData_10.csv;lard/csv/lardSpecimen_RawData_2.csv
-1.4999999999999998;0.02297;-0.010615;-0.012369999999999999;-0.005180000000000001;0.021054999999999997;0.00989;0.00347;0.01013;0.0016550000000000002;0.004365
-1.4900000000000002;0.02262;-0.01169;-0.01664;-0.00651;0.02138;0.00746;0.00319;0.00805;0.00305;0.00872
-1.4800000000000004;0.019155;-0.01029;-0.0183;-0.00775;0.0232;0.00402;0.00387;0.01029;0.00991;0.01304
-1.4799999999999986;0.01569;-0.009435;-0.01765;-0.0048000000000000004;0.024669999999999997;0.00207;0.005655;0.01116;0.014839999999999999;0.010935
-1.4700000000000006;0.014425;-0.00858;-0.017;-0.00185;0.02614;0.00012;0.00744;0.01203;0.01977;0.00883
-1.4699999999999989;0.01316;-0.00472;-0.016075;0.002515;0.022866666666666667;0.0024249999999999996;0.007859999999999999;0.01233;0.021929999999999998;0.007644999999999999
-1.4600000000000009;0.016325;-0.00086;-0.01515;0.00688;0.019593333333333334;0.00473;0.00828;0.01263;0.02409;0.00646
-1.459999999999999;0.01949;0.00178;-0.013479999999999999;0.00993;0.01632;0.007916666666666667;0.01261;0.010615;0.023713333333333333;0.009145
-1.450000000000001;0.020235;0.00442;-0.01181;0.01298;0.015705;0.011103333333333333;0.01694;0.0086;0.02333666666666667;0.01183
-1.4499999999999993;0.02098;0.002265;-0.010499999999999999;0.01578;0.01509;0.01429;0.016135;0.00692;0.02296;0.012223333333333334
-1.4400000000000013;0.01688;0.00011;-0.00919;0.01858;0.014535;0.01541;0.01533;0.00524;0.0238;0.012616666666666667
-1.4399999999999995;0.01278;0.00041500000000000006;-0.00788;0.01763;0.01398;0.01653;0.01585;0.00784;0.02464;0.01301
-1.4300000000000015;0.00764;0.00072;-0.004225;0.01668;0.01268;0.01334;0.01637;0.01044;0.023975;0.010965
-1.4299999999999997;0.0025;0.002025;-0.00057;0.01573;0.01138;0.01015;0.01524;0.01531;0.02331;0.00892
-1.42;0.00018;0.00333;0.00681;0.0122;0.00919;0.00017;0.01411;0.02018;0.02291;0.00297
-1.4100000000000001;0.00081;0.00122;0.0062;0.01942;0.0057;-0.00043;0.01125;0.01955;0.02145;-0.00225
-1.4000000000000004;0.00521;-0.00016;0.0068;0.01867;0.00228;0.003;0.01122;0.02388;0.02111;-0.00159
-1.4;0.0052225;0.0016250000000000001;0.0094125;0.015045;0.003385;0.006585000000000001;0.0102925;0.02768;0.02001;-0.0021375
-1.3999999999999997;0.005235;0.0034100000000000003;0.012025000000000001;0.0132325;0.00449;0.0083775;0.009365;0.029580000000000002;0.019459999999999998;-0.002685
-1.3900000000000006;0.0052475;0.00698;0.01725;0.01142;0.0067;0.01017;0.00751;0.03148;0.01891;-0.00378
-1.3899999999999988;0.00526;0.01047;0.020695;0.009935;0.009176666666666666;0.012985;0.0075049999999999995;0.036985000000000004;0.019625;-0.0064399999999999995
-1.3800000000000008;0.004815;0.01396;0.02414;0.00845;0.011653333333333333;0.0158;0.0075;0.04249;0.02034;-0.0091
-1.379999999999999;0.00437;0.01477;0.024455;0.01014;0.01413;0.015553333333333334;0.007835;0.042124999999999996;0.024535;-0.009505
-1.370000000000001;0.0026049999999999997;0.01558;0.02477;0.01183;0.01943;0.015306666666666668;0.00817;0.04176;0.02873;-0.00991
-1.3699999999999992;0.00084;0.01591;0.023336666666666665;0.012375;0.02473;0.01506;0.01165;0.036989999999999995;0.03215666666666667;-0.007566666666666668
-1.3600000000000012;0.001445;0.01624;0.021903333333333334;0.01292;0.026709999999999998;0.012285;0.01513;0.03222;0.035583333333333335;-0.005223333333333334
-1.3599999999999994;0.00205;0.015969999999999998;0.02047;0.0135;0.02869;0.00951;0.014499999999999999;0.027909999999999997;0.03901;-0.00288
-1.3500000000000014;0.00076;0.0157;0.0178;0.01408;0.030585;0.00672;0.01387;0.0236;0.037575;0.001965
-1.3499999999999996;-0.00053;0.01283;0.01513;0.012166666666666668;0.03248;0.00393;0.01185;0.02238;0.03614;0.00681
-1.3400000000000016;0.00202;0.00996;0.00748;0.010253333333333333;0.03245;-0.001975;0.00983;0.02116;0.037235000000000004;0.01348
-1.3399999999999999;0.00457;0.00709;-0.00017;0.00834;0.03242;-0.00788;0.00781;0.021735;0.03833;0.02015
