Hardness 1 : Kraftbei  Hardness 1;"355,04181";N
A1 : A1;"0,94175";J
A2 : A2;"0,09597";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,10191";
Chewiness : Chewiness;"0,02372";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,01597"
"0,01000";"0,00094";"0,02183"
"0,02000";"0,00578";"0,02477"
"0,03000";"0,01653";"0,04079"
"0,04000";"0,03164";"0,05230"
"0,05000";"0,04947";"0,06091"
"0,06000";"0,06835";"0,05612"
"0,07000";"0,08748";"0,04786"
"0,08000";"0,10637";"0,03539"
"0,09000";"0,12478";"0,02522"
"0,10000";"0,14249";"0,01565"
"0,11000";"0,15961";"0,00655"
"0,12000";"0,17638";"0,00416"
"0,13000";"0,19278";"0,00501"
"0,14000";"0,20896";"0,00612"
"0,15000";"0,22478";"0,00924"
"0,16000";"0,24048";"0,00822"
"0,17000";"0,25594";"0,00487"
"0,18000";"0,27129";"-0,00075"
"0,19000";"0,28664";"0,00178"
"0,20000";"0,30199";"0,00578"
"0,21000";"0,31722";"0,00946"
"0,22000";"0,33244";"0,01152"
"0,23000";"0,34756";"0,00941"
"0,24000";"0,36267";"0,00934"
"0,25000";"0,37766";"0,00479"
"0,26000";"0,39265";"-0,00138"
"0,27000";"0,40765";"0,00145"
"0,28000";"0,42276";"0,01187"
"0,29000";"0,43787";"0,01438"
"0,30000";"0,45310";"0,02185"
"0,31000";"0,46809";"0,03154"
"0,32000";"0,48308";"0,02993"
"0,33000";"0,49808";"0,02209"
"0,34000";"0,51295";"0,01595"
"0,35000";"0,52794";"0,00498"
"0,36000";"0,54306";"0,00147"
"0,37000";"0,55805";"-0,00215"
"0,38000";"0,57304";"-0,00427"
"0,39000";"0,58815";"-0,00051"
"0,40000";"0,60315";"0,01052"
"0,41000";"0,61814";"0,01044"
"0,42000";"0,63313";"0,00936"
"0,43000";"0,64812";"0,00220"
"0,44000";"0,66324";"0,00569"
"0,45000";"0,67823";"0,01032"
"0,46000";"0,69322";"0,00906"
