Hardness 1 : Kraftbei  Hardness 1;"362,96576";N
A1 : A1;"0,93588";J
A2 : A2;"0,11790";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,12597";
Chewiness : Chewiness;"0,02997";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00578";"0,02194"
"0,01000";"0,01641";"0,04340"
"0,02000";"0,03164";"0,05958"
"0,03000";"0,04935";"0,06192"
"0,04000";"0,06824";"0,05467"
"0,05000";"0,08736";"0,04317"
"0,06000";"0,10625";"0,03467"
"0,07000";"0,12455";"0,02705"
"0,08000";"0,14238";"0,01434"
"0,09000";"0,15961";"0,00037"
"0,10000";"0,17638";"-0,00896"
"0,11000";"0,19278";"-0,01040"
"0,12000";"0,20896";"-0,00721"
"0,13000";"0,22478";"-0,00803"
"0,14000";"0,24048";"-0,01039"
"0,15000";"0,25594";"-0,01088"
"0,16000";"0,27141";"-0,01595"
"0,17000";"0,28664";"-0,01591"
"0,18000";"0,30199";"-0,00468"
"0,19000";"0,31733";"0,00475"
"0,20000";"0,33244";"0,00649"
"0,21000";"0,34756";"0,00882"
"0,22000";"0,36267";"0,00872"
"0,23000";"0,37766";"0,00827"
"0,24000";"0,39265";"0,00934"
"0,25000";"0,40765";"0,01241"
"0,26000";"0,42276";"0,01324"
"0,27000";"0,43787";"0,00488"
"0,28000";"0,45298";"0,00490"
"0,29000";"0,46809";"0,00797"
"0,30000";"0,48308";"0,00545"
"0,31000";"0,49808";"0,00326"
"0,32000";"0,51295";"0,00232"
"0,33000";"0,52794";"0,00530"
"0,34000";"0,54306";"0,00869"
"0,35000";"0,55805";"0,01483"
"0,36000";"0,57304";"0,01578"
"0,37000";"0,58803";"0,01018"
"0,38000";"0,60315";"0,00763"
"0,39000";"0,61814";"0,01238"
"0,40000";"0,63313";"0,01291"
"0,41000";"0,64812";"0,01367"
"0,42000";"0,66324";"0,01916"
"0,43000";"0,67823";"0,01896"
"0,44000";"0,69310";"0,01625"
"0,45000";"0,70798";"0,01718"
"0,46000";"0,72297";"0,01687"
"0,47000";"0,73808";"0,01567"
"0,48000";"0,75296";"0,02014"
"0,49000";"0,76807";"0,02011"
"0,50000";"0,78318";"0,01894"
"0,51000";"0,79817";"0,01650"
"0,52000";"0,81328";"0,02358"
"0,53000";"0,82816";"0,02323"
"0,54000";"0,84303";"0,01792"
"0,55000";"0,85803";"0,01792"
"0,56000";"0,87290";"0,01828"
"0,57000";"0,88778";"0,01115"
"0,58000";"0,90289";"-0,00073"
"0,59000";"0,91788";"-0,00726"
"0,60000";"0,93299";"-0,00081"
"0,61000";"0,94799";"0,01048"
"0,62000";"0,96298";"0,01430"
"0,63000";"0,97797";"0,01911"
"0,64000";"0,99285";"0,02598"
"0,65000";"1,00784";"0,02620"
"0,66000";"1,02295";"0,02537"
"0,67000";"1,03794";"0,01691"
"0,68000";"1,05306";"0,01480"
"0,69000";"1,06805";"0,01847"
"0,70000";"1,08304";"0,01873"
"0,71000";"1,09815";"0,01119"
"0,72000";"1,11303";"0,00289"
"0,73000";"1,12814";"-0,00269"
"0,74000";"1,14313";"0,00037"
"0,75000";"1,15813";"0,00702"
"0,76000";"1,17312";"0,01011"
"0,77000";"1,18799";"0,01336"
"0,78000";"1,20310";"0,01392"
"0,79000";"1,21810";"0,01090"
"0,80000";"1,23297";"0,00507"
"0,81000";"1,24808";"0,00029"
"0,82000";"1,26308";"0,00122"
"0,83000";"1,27819";"-0,00013"
"0,84000";"1,29306";"-0,00313"
"0,85000";"1,30806";"0,00180"
"0,86000";"1,32293";"-0,00090"
"0,87000";"1,33792";"-0,00176"
"0,88000";"1,35280";"0,00266"
"0,89000";"1,36791";"0,00879"
"0,90000";"1,38302";"0,01710"
"0,91000";"1,39813";"0,02454"
"0,92000";"1,41313";"0,02695"
"0,93000";"1,42812";"0,02872"
"0,94000";"1,44311";"0,03504"
"0,95000";"1,45799";"0,04253"
"0,96000";"1,47298";"0,03393"
"0,97000";"1,48797";"0,02028"
"0,98000";"1,50308";"0,00689"
"0,99000";"1,51808";"0,00278"
"1,00000";"1,53307";"-0,00156"
"1,01000";"1,54806";"0,00051"
"1,02000";"1,56306";"0,00382"
"1,03000";"1,57805";"0,00386"
"1,04000";"1,59304";"0,01010"
"1,05000";"1,60815";"0,01772"
"1,06000";"1,62315";"0,02267"
"1,07000";"1,63814";"0,02104"
"1,08000";"1,65313";"0,01104"
"1,09000";"1,66813";"0,00448"
"1,10000";"1,68312";"-0,00099"
"1,11000";"1,69811";"-0,00269"
"1,12000";"1,71310";"-0,00379"
"1,13000";"1,72810";"0,00072"
"1,14000";"1,74309";"0,00509"
"1,15000";"1,75808";"0,01050"
"1,16000";"1,77308";"0,02086"
"1,17000";"1,78807";"0,03451"
"1,18000";"1,80294";"0,03275"
"1,19000";"1,81782";"0,02286"
"1,20000";"1,83281";"0,01926"
"1,21000";"1,84792";"0,02759"
"1,22000";"1,86292";"0,03166"
"1,23000";"1,87803";"0,03035"
"1,24000";"1,89302";"0,02235"
"1,25000";"1,90801";"0,02029"
"1,26000";"1,92301";"0,01524"
"1,27000";"1,93788";"0,01066"
"1,28000";"1,95288";"0,01069"
"1,29000";"1,96787";"0,01673"
"1,30000";"1,98286";"0,01474"
"1,31000";"1,99785";"0,00672"
"1,32000";"2,01285";"0,00810"
"1,33000";"2,02784";"0,01184"
"1,34000";"2,04283";"0,01820"
"1,35000";"2,05771";"0,02273"
"1,36000";"2,07258";"0,02040"
"1,37000";"2,08769";"0,02070"
"1,38000";"2,10281";"0,02562"
"1,39000";"2,11792";"0,02684"
"1,40000";"2,13303";"0,02797"
"1,41000";"2,14802";"0,01973"
"1,42000";"2,16313";"0,01317"
"1,43000";"2,17801";"0,01302"
"1,44000";"2,19312";"0,01258"
"1,45000";"2,20823";"0,02091"
"1,46000";"2,22334";"0,02831"
"1,47000";"2,23833";"0,02681"
"1,48000";"2,25333";"0,03144"
"1,49000";"2,26832";"0,02781"
"1,50000";"2,28308";"0,01586"
"1,51000";"2,29795";"0,00428"
"1,52000";"2,31294";"0,00164"
"1,53000";"2,32794";"-0,00087"
"1,54000";"2,34293";"0,00132"
"1,55000";"2,35781";"0,00559"
"1,56000";"2,37280";"0,01142"
"1,57000";"2,38791";"0,01443"
"1,58000";"2,40267";"0,02105"
"1,59000";"2,41754";"0,02166"
"1,60000";"2,43253";"0,01555"
"1,61000";"2,44753";"0,01690"
"1,62000";"2,46252";"0,01604"
"1,63000";"2,47763";"0,00626"
"1,64000";"2,49274";"-0,00476"
"1,65000";"2,50774";"-0,00803"
"1,66000";"2,52261";"-0,00330"
"1,67000";"2,53760";"0,00647"
"1,68000";"2,55272";"0,00793"
"1,69000";"2,56771";"0,00665"
"1,70000";"2,58282";"0,01339"
"1,71000";"2,59793";"0,02011"
"1,72000";"2,61304";"0,02395"
"1,73000";"2,62815";"0,02227"
"1,74000";"2,64315";"0,01963"
"1,75000";"2,65826";"0,01365"
"1,76000";"2,67325";"0,01142"
"1,77000";"2,68836";"0,00869"
"1,78000";"2,70335";"0,00338"
"1,79000";"2,71823";"0,00134"
"1,80000";"2,73322";"0,00291"
"1,81000";"2,74810";"0,00310"
"1,82000";"2,76297";"0,00744"
