Hardness 1 : Kraftbei  Hardness 1;"355,88712";N
A1 : A1;"0,85987";J
A2 : A2;"0,09906";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,11520";
Chewiness : Chewiness;"0,02688";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"-0,02242"
"0,01000";"0,00094";"-0,01610"
"0,02000";"0,00567";"0,00086"
"0,03000";"0,01629";"0,02562"
"0,04000";"0,03140";"0,04886"
"0,05000";"0,04923";"0,05380"
"0,06000";"0,06812";"0,04252"
"0,07000";"0,08736";"0,02772"
"0,08000";"0,10625";"0,00818"
"0,09000";"0,12467";"-0,00567"
"0,10000";"0,14249";"-0,01671"
"0,11000";"0,15961";"-0,02302"
"0,12000";"0,17638";"-0,02043"
"0,13000";"0,19278";"-0,01451"
"0,14000";"0,20884";"-0,01511"
"0,15000";"0,22466";"-0,00765"
"0,16000";"0,24048";"0,00355"
"0,17000";"0,25594";"0,01132"
"0,18000";"0,27141";"0,01202"
"0,19000";"0,28676";"0,00303"
"0,20000";"0,30199";"-0,00190"
"0,21000";"0,31733";"-0,00942"
"0,22000";"0,33256";"-0,01529"
"0,23000";"0,34756";"-0,01654"
"0,24000";"0,36267";"-0,00615"
"0,25000";"0,37766";"-0,00258"
"0,26000";"0,39265";"-0,00407"
"0,27000";"0,40765";"-0,00681"
"0,28000";"0,42276";"-0,00440"
"0,29000";"0,43787";"-0,00001"
"0,30000";"0,45298";"0,00265"
"0,31000";"0,46809";"0,00400"
"0,32000";"0,48308";"-0,00011"
"0,33000";"0,49808";"0,00041"
"0,34000";"0,51295";"0,00111"
"0,35000";"0,52794";"-0,00330"
"0,36000";"0,54306";"-0,00255"
"0,37000";"0,55805";"0,00128"
"0,38000";"0,57316";"0,00079"
"0,39000";"0,58815";"0,00045"
"0,40000";"0,60315";"-0,00449"
"0,41000";"0,61814";"-0,00530"
"0,42000";"0,63313";"-0,00236"
"0,43000";"0,64812";"-0,00263"
"0,44000";"0,66324";"-0,00422"
"0,45000";"0,67823";"0,00157"
"0,46000";"0,69310";"0,00728"
"0,47000";"0,70810";"0,01110"
"0,48000";"0,72309";"0,01236"
"0,49000";"0,73808";"0,01518"
"0,50000";"0,75308";"0,01851"
"0,51000";"0,76807";"0,01439"
"0,52000";"0,78306";"0,01164"
"0,53000";"0,79817";"0,01021"
"0,54000";"0,81317";"0,01306"
"0,55000";"0,82816";"0,00945"
"0,56000";"0,84303";"0,01044"
"0,57000";"0,85803";"0,00436"
"0,58000";"0,87290";"0,00373"
"0,59000";"0,88790";"0,00654"
"0,60000";"0,90289";"0,01277"
"0,61000";"0,91800";"0,01572"
"0,62000";"0,93299";"0,01260"
"0,63000";"0,94799";"0,00223"
"0,64000";"0,96298";"0,00169"
"0,65000";"0,97797";"-0,00615"
"0,66000";"0,99297";"-0,00472"
"0,67000";"1,00796";"0,00216"
"0,68000";"1,02307";"0,00926"
"0,69000";"1,03818";"0,00889"
"0,70000";"1,05317";"0,00534"
"0,71000";"1,06817";"0,00753"
"0,72000";"1,08316";"0,00651"
"0,73000";"1,09815";"0,00777"
"0,74000";"1,11303";"0,00787"
"0,75000";"1,12802";"0,00441"
"0,76000";"1,14301";"0,00302"
"0,77000";"1,15801";"0,00267"
"0,78000";"1,17300";"-0,00299"
"0,79000";"1,18799";"-0,01300"
"0,80000";"1,20299";"-0,01303"
"0,81000";"1,21798";"-0,01011"
"0,82000";"1,23297";"-0,00448"
"0,83000";"1,24808";"-0,00501"
"0,84000";"1,26308";"-0,00334"
"0,85000";"1,27807";"0,00156"
"0,86000";"1,29306";"0,00341"
"0,87000";"1,30794";"-0,00541"
"0,88000";"1,32293";"-0,00536"
"0,89000";"1,33781";"-0,00819"
"0,90000";"1,35280";"-0,00419"
"0,91000";"1,36779";"0,00315"
"0,92000";"1,38290";"0,01178"
"0,93000";"1,39801";"0,01858"
"0,94000";"1,41313";"0,02091"
"0,95000";"1,42812";"0,01762"
"0,96000";"1,44311";"0,00083"
"0,97000";"1,45810";"-0,00892"
"0,98000";"1,47298";"-0,01342"
"0,99000";"1,48797";"-0,01650"
"1,00000";"1,50308";"-0,00599"
"1,01000";"1,51808";"0,01169"
"1,02000";"1,53319";"0,01851"
"1,03000";"1,54818";"0,01136"
"1,04000";"1,56306";"0,00926"
"1,05000";"1,57805";"0,01332"
"1,06000";"1,59304";"0,01069"
"1,07000";"1,60803";"0,00664"
"1,08000";"1,62315";"0,00371"
"1,09000";"1,63814";"0,00260"
"1,10000";"1,65313";"0,00936"
"1,11000";"1,66801";"0,01116"
"1,12000";"1,68312";"0,01698"
"1,13000";"1,69799";"0,01768"
"1,14000";"1,71299";"0,01837"
"1,15000";"1,72810";"0,01390"
"1,16000";"1,74309";"0,00366"
"1,17000";"1,75808";"-0,00866"
"1,18000";"1,77308";"-0,01781"
"1,19000";"1,78795";"-0,02269"
"1,20000";"1,80294";"-0,01351"
"1,21000";"1,81794";"0,00222"
"1,22000";"1,83293";"0,00363"
"1,23000";"1,84792";"-0,00431"
"1,24000";"1,86303";"-0,00797"
"1,25000";"1,87803";"-0,00494"
"1,26000";"1,89302";"0,00116"
"1,27000";"1,90801";"0,00849"
"1,28000";"1,92301";"0,00334"
"1,29000";"1,93788";"-0,00257"
"1,30000";"1,95288";"-0,00898"
"1,31000";"1,96787";"-0,00270"
"1,32000";"1,98286";"-0,00202"
"1,33000";"1,99797";"0,00208"
"1,34000";"2,01285";"0,00733"
