;lard/csv/lard Specimen_RawData_4.csv;lard/csv/lard Specimen_RawData_5.csv;lard/csv/lard Specimen_RawData_1.csv;lard/csv/lard Specimen_RawData_6.csv;lard/csv/lard Specimen_RawData_3.csv;lard/csv/lard Specimen_RawData_2.csv
-25.5;;;;;;
-25.499999999999996;;;;;;0.012
-25.4;;;;;;0.014683333333333333
-25.299999999999997;;;;;;0.017366666666666666
-25.199999999999996;;;;;;0.02005
-25.099999999999994;;;;;;0.01995
-24.999999999999993;;;;;;0.01985
-24.9;;;;;;0.01975
-24.89999999999999;;;;;;0.0187125
-24.8;;;;;0.00097;0.01819375
-24.79999999999999;;;;;0.001165;0.017675
-24.7;0.00984;;;;0.00136;0.017156249999999998
-24.69999999999999;0.005066666666666666;;;;0.001555;0.0166375
-24.599999999999998;0.00029333333333333295;;;;0.00175;0.0156
-24.599999999999987;-0.002888888888888889;;;;0.0019450000000000001;0.01482
-24.5;-0.006071111111111111;;;;0.00214;0.01456
-24.499999999999996;-0.009253333333333334;;;;0.0010225;0.0143
-24.499999999999986;-0.014026666666666666;;;;0.00065;0.01404
-24.4;-0.0188;;;;0.00027749999999999997;0.01378
-24.399999999999995;-0.008745;;;;-9.500000000000003e-05;0.013519999999999999
-24.399999999999984;-0.005393333333333332;;;;-0.00046750000000000003;0.01326
-24.299999999999997;-0.0020416666666666647;;;;-0.00084;0.01248
-24.299999999999994;0.0013100000000000021;;;;-0.0012125;0.01295375
-24.299999999999983;0.0038237500000000025;;;;-0.00177125;0.0134275
-24.200000000000003;0.006337500000000003;;;;-0.00233;0.013664375
-24.2;0.008851250000000003;0.01123;0.0067;;0.0008424999999999999;0.01390125
-24.199999999999992;0.011365000000000004;0.010494166666666667;0.0059325;;0.0040149999999999995;0.014138125
-24.19999999999998;0.016392500000000004;0.009758333333333334;0.005165;;0.0056012499999999995;0.014374999999999999
-24.1;0.02142;0.0090225;0.0043975;;0.0071874999999999994;0.014611875
-24.099999999999998;0.019946250000000002;0.008286666666666666;0.0036300000000000004;;0.00877375;0.014848749999999999
-24.09999999999999;0.018472500000000003;0.007305555555555555;0.002606666666666667;;0.01036;0.015085624999999998
-24.09999999999998;0.017490000000000002;0.006324444444444443;0.0015833333333333337;;0.012475;0.0153225
-23.999999999999996;0.0165075;0.005343333333333333;0.0005600000000000006;;0.01459;0.01627
-23.99999999999999;0.015525;0.0046075;-0.00020749999999999957;;0.016705;0.0144625
-23.99999999999998;0.0149355;0.0038716666666666665;-0.0009749999999999997;;0.0198775;0.012655
-23.900000000000002;0.014346000000000001;0.003135833333333333;-0.0017425000000000001;;0.02305;0.011932
-23.9;0.013756500000000001;0.0024;-0.00251;;0.020216666666666668;0.011209
-23.899999999999995;0.013167;0.0059475;-0.0042875;;0.017383333333333334;0.010485999999999999
-23.899999999999988;0.0125775;0.006834375;-0.004731875;;0.01455;0.009762999999999999
-23.899999999999977;0.011103749999999999;0.00772125;-0.00517625;;0.012425;0.00904
-23.8;0.00963;0.008608125;-0.005620625;;0.0103;0.00813625
-23.799999999999994;0.0087775;0.009495;-0.006065;;0.008175;0.007232499999999999
-23.799999999999986;0.007925;0.010381875;-0.006509375;;0.00605;0.006328749999999999
-23.799999999999976;0.00749875;0.011268750000000001;-0.00695375;;0.003925;0.005424999999999999
-23.699999999999996;0.0070725;0.012155625;-0.007398125;;0.0017999999999999995;0.00181
-23.699999999999992;0.006646249999999999;0.0130425;-0.0078425;;-0.00032500000000000064;0.002984166666666667
-23.699999999999985;0.00622;0.014225;-0.008435;;-0.002450000000000001;0.004158333333333333
-23.699999999999974;0.00579375;0.015407500000000001;-0.0090275;;-0.0067;0.0053325000000000004
-23.6;0.0053675;0.01659;-0.00962;;-0.01095;0.006213125000000001
-23.59999999999999;0.0049412499999999995;0.013867500000000001;-0.00455;;-0.01184875;0.007093750000000001
-23.599999999999984;0.004515;0.013186875;-0.0032825000000000003;;-0.0127475;0.007974375000000002
-23.599999999999973;0.0036625;0.01250625;-0.0020150000000000003;;-0.013196875;0.008855000000000002
-23.5;0.00281;0.011825625000000001;-0.0007475000000000003;;-0.013646249999999999;0.009735625000000001
-23.49999999999999;0.0015425;0.011145;0.0005199999999999996;;-0.014095624999999999;0.01061625
-23.499999999999982;0.00027500000000000007;0.010464375;0.0017874999999999996;;-0.014544999999999999;0.011496875
-23.49999999999997;-0.0003587499999999999;0.00978375;0.0030549999999999996;;-0.014994374999999999;0.0123775
-23.4;-0.0009925;0.009103125;0.0043225;;-0.01544375;0.0159
-23.399999999999988;-0.0016262499999999999;0.0084225;0.0055899999999999995;;-0.015893125;0.014618333333333334
-23.39999999999998;-0.00226;0.007515;0.007279999999999999;;-0.0163425;0.013336666666666667
-23.39999999999997;-0.0028937499999999996;0.0066075;0.008969999999999999;;-0.01724125;0.012055
-23.3;-0.0035275;0.0057;0.01066;0.02129;-0.01814;0.01109375
-23.299999999999986;-0.00416125;0.0057275;0.006449999999999999;0.021618333333333333;-0.015772500000000002;0.0101325
-23.29999999999998;-0.004795;0.005734375;0.0053974999999999995;0.021946666666666666;-0.013405;0.00917125
-23.29999999999997;-0.0060625;0.00574125;0.004344999999999999;0.022275;-0.01222125;0.00821
-23.2;-0.00733;0.005748125;0.003292499999999999;0.022603333333333333;-0.0110375;0.00724875
-23.199999999999985;-0.0079625;0.005755;0.002239999999999999;0.022931666666666666;-0.009853750000000001;0.0062875000000000006
-23.199999999999978;-0.008595;0.005761875;0.0011874999999999989;0.02326;-0.00867;0.005326250000000001
-23.199999999999967;-0.00891125;0.00576875;0.00013499999999999884;0.023588333333333333;-0.007486250000000001;0.004365000000000001
-23.099999999999998;-0.0092275;0.005775625;-0.0009175000000000012;0.023916666666666666;-0.006302500000000001;0.00052
-23.099999999999984;-0.00954375;0.0057825;-0.0019700000000000013;0.024245;-0.005118750000000001;0.0020125
-23.099999999999977;-0.00986;0.005791666666666667;-0.003373333333333334;0.024573333333333332;-0.003935000000000001;0.003505
-23.099999999999966;-0.010113;0.005800833333333333;-0.004776666666666667;0.024901666666666666;-0.0015675000000000003;0.004997499999999999
-23.0;-0.010366;0.00581;-0.00618;0.02523;0.0008;0.005892999999999999
-22.999999999999996;-0.010619;0.007076249999999999;-0.00618375;0.020014999999999998;-0.00018166666666666667;0.006788499999999999
-22.999999999999982;-0.010872;0.0083425;-0.0061875;0.018972;-0.0011633333333333335;0.007683999999999999
-22.999999999999975;-0.011125;0.008849;-0.006189;0.017928999999999997;-0.002145;0.008579499999999999
-22.999999999999964;-0.0117575;0.0093555;-0.0061905;0.016885999999999998;-0.0027340000000000003;0.009474999999999999
-22.9;-0.01239;0.009862;-0.0061920000000000005;0.015843;-0.003323;0.0103705
-22.899999999999995;-0.011885;0.0103685;-0.0061935;0.014799999999999999;-0.003912;0.011266
-22.89999999999998;-0.01138;0.010875;-0.006195;0.013756999999999998;-0.004501;0.012161499999999999
-22.899999999999974;-0.010875;0.0113815;-0.0061965;0.012714;-0.00509;0.013057
-22.899999999999963;-0.010572;0.011888;-0.0061979999999999995;0.011670999999999999;-0.005679;0.0139525
-22.799999999999997;-0.010269;0.0123945;-0.0061995;0.010627999999999999;-0.006268;0.01843
-22.799999999999994;-0.009966;0.012901;-0.006201;0.009585;-0.006857;0.017335
-22.79999999999998;-0.009663;0.0134075;-0.0062025;0.00828125;-0.007446;0.016239999999999997
-22.799999999999972;-0.00936;0.014040625;-0.006204375;0.006977499999999999;-0.008035;0.015144999999999999
-22.79999999999996;-0.009107500000000001;0.01467375;-0.00620625;0.00567375;-0.0095075;0.01405
-22.700000000000003;-0.008855;0.015306875;-0.006208125;0.00437;-0.01098;0.01332
-22.7;-0.008602499999999999;0.01594;-0.00621;0.0069412499999999995;-0.010490625;0.01259
-22.699999999999992;-0.00835;0.01432;-0.0053025;0.0095125;-0.01000125;0.011859999999999999
-22.699999999999978;-0.0080975;0.0127;-0.0043950000000000005;0.010541;-0.009511875;0.01113
-22.69999999999997;-0.007845;0.012052;-0.004032000000000001;0.0115695;-0.0090225;0.0104
-22.69999999999996;-0.0070875;0.011404;-0.0036690000000000004;0.012598000000000002;-0.008631;0.00967
-22.6;-0.00633;0.010756;-0.0033060000000000003;0.013626500000000001;-0.0082395;0.008794
-22.59999999999999;-0.005613333333333333;0.010107999999999999;-0.0029430000000000003;0.014655000000000001;-0.007848;0.007918
-22.599999999999977;-0.004896666666666666;0.00946;-0.0025800000000000003;0.0156835;-0.0074565;0.007042
-22.59999999999997;-0.00418;0.008812;-0.0022170000000000002;0.016712;-0.007065;0.006166
-22.59999999999996;-0.00375;0.008164;-0.0018540000000000002;0.0177405;-0.0066735;0.0052899999999999996
-22.499999999999996;-0.0033199999999999996;0.007516;-0.0014910000000000001;0.018769;-0.006282;0.00091
-22.49999999999999;-0.0028899999999999998;0.006868;-0.001128;0.0197975;-0.0058905;0.00026187500000000006
-22.499999999999975;-0.0024599999999999995;0.00622;-0.0007650000000000001;0.021083125;-0.005499;-0.0003862499999999999
-22.499999999999968;-0.0020299999999999997;0.00541;-0.00031125000000000006;0.02236875;-0.0051075;-0.001034375
-22.499999999999957;-0.0016716666666666664;0.0046;0.00014249999999999994;0.023654375;-0.0041287500000000005;-0.0016824999999999998
-22.400000000000002;-0.001313333333333333;0.00379;0.00059625;0.02494;-0.00315;-0.002114583333333333
-22.4;-0.0009549999999999997;0.00298;0.00105;0.02467375;-0.003321875;-0.0025466666666666663
-22.399999999999988;-0.0005966666666666664;0.0045275;0.00031625;0.0244075;-0.00349375;-0.0029787499999999996
-22.399999999999974;-0.00023833333333333302;0.0060750000000000005;-0.0004174999999999999;0.024301;-0.0036656249999999996;-0.0034108333333333326
-22.399999999999967;0.00012000000000000031;0.006694;-0.0007109999999999998;0.0241945;-0.0038374999999999998;-0.0038429166666666655
-22.399999999999956;0.001195;0.007313000000000001;-0.0010044999999999998;0.024088;-0.003974999999999999;-0.004274999999999999
-22.3;0.00227;0.007932000000000002;-0.001298;0.0239815;-0.0041125;-0.004793499999999999
-22.299999999999986;0.0028899999999999998;0.008551000000000001;-0.0015914999999999998;0.023875;-0.0042499999999999994;-0.005311999999999999
-22.299999999999972;0.00351;0.009170000000000001;-0.0018849999999999997;0.0237685;-0.0043875;-0.0058305
-22.299999999999965;0.00413;0.009789;-0.0021785;0.023662000000000002;-0.0045249999999999995;-0.006349
-22.299999999999955;0.004502;0.010408;-0.002472;0.0235555;-0.0046625;-0.0068674999999999995
-22.199999999999996;0.004874;0.011027;-0.0027654999999999997;0.023449;-0.0048;-0.00946
-22.199999999999985;0.005246000000000001;0.011646;-0.0030589999999999997;0.023342500000000002;-0.0049375;-0.008431875
-22.19999999999997;0.005618000000000001;0.012265;-0.0033524999999999996;0.023209375;-0.005075;-0.00740375
-22.199999999999964;0.0059900000000000005;0.013296666666666667;-0.0038416666666666664;0.02307625;-0.0052125;-0.006375624999999999
-22.199999999999953;0.0063620000000000005;0.014328333333333334;-0.004330833333333333;0.022943125;-0.00555625;-0.0053475
-22.1;0.006734;0.01536;-0.00482;0.02281;-0.0059;-0.0045249999999999995
-22.099999999999984;0.0071059999999999995;0.01392875;-0.0043725;0.02697;-0.006183333333333333;-0.0037025
-22.09999999999997;0.007477999999999999;0.0124975;-0.003925;0.027802;-0.006466666666666667;-0.0028799999999999997
-22.099999999999962;0.00785;0.011925;-0.0037459999999999998;0.028634;-0.00675;-0.0020575
-22.09999999999995;0.00878;0.0113525;-0.003567;0.029466;-0.00692;-0.001235
-22.0;0.00971;0.010780000000000001;-0.0033879999999999995;0.030298;-0.00709;-0.0004125
-21.999999999999982;0.008548333333333333;0.010207500000000001;-0.0032089999999999996;0.031129999999999998;-0.007259999999999999;0.00041
-21.999999999999968;0.007386666666666666;0.009635000000000001;-0.0030299999999999997;0.031962;-0.007429999999999999;0.0012325
-21.99999999999996;0.006225;0.009062500000000001;-0.002851;0.032794;-0.007599999999999999;0.002055
