;6perc/csv/6p_liquidSpecimen_RawData_4.csv;6perc/csv/6p_liquidSpecimen_RawData_7.csv;6perc/csv/6p_liquidSpecimen_RawData_9.csv;6perc/csv/6p_liquidSpecimen_RawData_8.csv;6perc/csv/6p_liquidSpecimen_RawData_3.csv;6perc/csv/6p_liquidSpecimen_RawData_1.csv;6perc/csv/6p_liquidSpecimen_RawData_6.csv;6perc/csv/6p_liquidSpecimen_RawData_2.csv;6perc/csv/6p_liquidSpecimen_RawData_5.csv;6perc/csv/6p_liquidSpecimen_RawData_10.csv
-2.0;;;;;0.41616000000000003;;;;;0.4600033333333333
-1.9000000000000004;0.4183133333333333;0.4240033333333333;0.42833000000000004;;0.38655545454545454;0.39159666666666665;0.42943;0.40349666666666667;0.4113466666666667;0.4410390909090909
-1.9;0.40399484848484846;0.4196239393939394;0.4271118181818182;;0.3766402272727273;0.3800560606060606;0.41256590909090907;0.38831015151515147;0.4043901515151515;0.43317704545454544
-1.8000000000000007;0.3896763636363636;0.4152445454545454;0.42589363636363636;0.42582000000000003;0.366725;0.3685154545454546;0.39570181818181815;0.3731236363636363;0.3974336363636363;0.425315
-1.8;0.3880720227272727;0.4109164090909091;0.42275097727272726;0.4180640909090909;0.3675965;0.36551584090909095;0.39559436363636363;0.37157097727272725;0.39722697727272727;0.42423666666666665
-1.7999999999999998;0.3864676818181818;0.4065882727272727;0.4196083181818182;0.4141861363636364;0.368468;0.3625162272727273;0.3954869090909091;0.3700183181818182;0.39702031818181815;0.4231583333333333
-1.700000000000001;0.38325899999999996;0.397932;0.413323;0.41030818181818185;0.369049;0.35651700000000003;0.395272;0.366913;0.39660700000000004;0.4224394444444444
-1.7;0.383115;0.39804825;0.41906025;0.409342590909091;0.36963;0.35556200000000004;0.3935385;0.36515675000000003;0.39643975000000004;0.42172055555555554
-1.6999999999999997;0.38297099999999995;0.39816450000000003;0.42479750000000005;0.4090207272727273;0.370211;0.354607;0.39180499999999996;0.3634005;0.3962725;0.42100166666666666
-1.6999999999999993;0.382899;0.39822262500000005;0.42766612500000006;0.4086988636363637;0.371954;0.3541295;0.39093824999999993;0.362522375;0.396188875;0.41884499999999997
-1.6000000000000014;0.382827;0.39828075;0.4305347500000001;0.40837700000000005;0.36895674074074075;0.35365199999999997;0.39007149999999996;0.36164425;0.39610525;0.42121333333333333
-1.5999999999999999;0.38275499999999996;0.398338875;0.43340337500000004;0.409489;0.36595948148148144;0.3531745;0.38920475;0.360766125;0.39602162500000004;0.4235816666666667
-1.5999999999999996;0.382683;0.398397;0.43627200000000005;0.410045;0.3629622222222222;0.352697;0.38833799999999996;0.359888;0.395938;0.42595000000000005
