Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,25435"
"0,10000";"0,28865";"0,28222"
"0,20000";"0,60527";"0,24679"
"0,30000";"0,90596";"0,26473"
"0,40000";"1,20606";"0,25085"
"0,50000";"1,50627";"0,24214"
"0,60000";"1,80590";"0,26091"
"0,70000";"2,10599";"0,25297"
"0,80000";"2,40597";"0,25094"
"0,90000";"2,70607";"0,25760"
"1,00000";"3,00617";"0,25275"
"1,10000";"3,30626";"0,25964"
"1,20000";"3,60589";"0,26191"
"1,30000";"3,90587";"0,25937"
"1,40000";"4,20597";"0,26163"
"1,50000";"4,50630";"0,25894"
"1,60000";"4,80616";"0,26256"
"1,70000";"5,10602";"0,26633"
"1,80000";"5,40588";"0,24603"
"1,90000";"5,70610";"0,25229"
"2,00000";"6,00596";"0,24497"
"2,10000";"6,30606";"0,26314"
"2,20000";"6,60603";"0,25365"
"2,30000";"6,90601";"0,25595"
"2,40000";"7,20599";"0,24408"
"2,50000";"7,50597";"0,25199"
"2,60000";"7,80607";"0,26037"
"2,70000";"8,10605";"0,25892"
"2,80000";"8,40591";"0,25923"
"2,90000";"8,70601";"0,27887"
"3,00000";"9,00599";"0,25173"
"3,10000";"9,30597";"0,27376"
"3,20000";"9,60606";"0,25600"
"3,30000";"9,90592";"0,25412"
"3,40000";"10,20602";"0,25197"
"3,50000";"10,50612";"0,26592"
"3,60000";"10,80563";"0,24491"
"3,70000";"11,10619";"0,25685"
"3,80000";"11,40582";"0,25729"
"3,90000";"11,70615";"0,26087"
"4,00000";"12,00625";"0,25578"
"4,10000";"12,30587";"0,25798"
"4,20000";"12,60597";"0,26127"
"4,30000";"12,90595";"0,24936"
"4,40000";"13,20593";"0,26128"
"4,50000";"13,50603";"0,25537"
"4,60000";"13,80601";"0,25953"
"4,70000";"14,10587";"0,26042"
"4,80000";"14,40585";"0,25936"
"4,90000";"14,70595";"0,24402"
"5,00000";"15,00604";"0,25177"
"5,10000";"15,30614";"0,24954"
"5,20000";"15,60600";"0,25650"
"5,30000";"15,90586";"0,25380"
"5,40000";"16,20596";"0,24655"
"5,50000";"16,50594";"0,26134"
"5,60000";"16,80592";"0,25128"
"5,70000";"17,10613";"0,27356"
"5,80000";"17,40599";"0,25332"
"5,90000";"17,70609";"0,25915"
"6,00000";"18,00607";"0,25979"
"6,10000";"18,30629";"0,27421"
"6,20000";"18,60603";"0,24303"
"6,30000";"18,90601";"0,27034"
"6,40000";"19,20599";"0,25608"
"6,50000";"19,50585";"0,26370"
"6,60000";"19,80583";"0,24875"
"6,70000";"20,10604";"0,27645"
"6,80000";"20,40602";"0,26509"
"6,90000";"20,70612";"0,24521"
"7,00000";"21,00610";"0,26040"
"7,10000";"21,30596";"0,25128"
"7,20000";"21,60617";"0,26168"
"7,30000";"21,90615";"0,24683"
"7,40000";"22,20601";"0,26303"
"7,50000";"22,50599";"0,25932"
"7,60000";"22,80597";"0,27235"
"7,70000";"23,10607";"0,25619"
"7,80000";"23,40593";"0,26175"
"7,90000";"23,70615";"0,26715"
"8,00000";"24,00601";"0,25641"
"8,10000";"24,30610";"0,28249"
"8,20000";"24,60585";"0,26616"
"8,30000";"24,90583";"0,25232"
"8,40000";"25,20581";"0,26360"
"8,50000";"25,50602";"0,26578"
"8,60000";"25,80612";"0,26417"
"8,70000";"26,10598";"0,25451"
"8,80000";"26,40596";"0,26033"
"8,90000";"26,70606";"0,25010"
"9,00000";"27,00603";"0,25364"
"9,10000";"27,30589";"0,25142"
"9,20000";"27,60623";"0,23922"
"9,30000";"27,90621";"0,26149"
"9,40000";"28,20560";"0,25538"
"9,50000";"28,50593";"0,26683"
"9,60000";"28,80614";"0,25752"
"9,70000";"29,10601";"0,25784"
"9,80000";"29,40575";"0,27583"
"9,90000";"29,70573";"0,23470"
"10,00000";"30,00583";"0,26647"
"10,00200";"30,01185";"0,26834"
"10,10200";"30,11267";"0,27979"
"10,20200";"30,20463";"0,27559"
"10,30200";"30,30392";"0,24746"
"10,40200";"30,40403";"0,27537"
"10,50200";"30,50379";"0,25531"
"10,60200";"30,60390";"0,23761"
"10,70200";"30,70401";"0,26605"
"10,80200";"30,80400";"0,69184"
"10,90200";"30,90423";"1,63554"
"11,00200";"31,00387";"5,24107"
"11,10200";"31,10386";"7,65696"
"11,20200";"31,20409";"8,29574"
"11,30200";"31,30420";"8,83455"
"11,40200";"31,40420";"9,14686"
"11,50200";"31,50407";"8,96772"
"11,60200";"31,60406";"8,60212"
"11,70200";"31,70382";"8,25369"
"11,80200";"31,80405";"7,93020"
"11,90200";"31,90404";"7,63949"
"12,00200";"32,00392";"7,37220"
"12,10200";"32,10426";"7,11555"
"12,20200";"32,20402";"6,87606"
"12,30200";"32,30401";"6,67525"
"12,40200";"32,40401";"6,47666"
"12,50200";"32,50388";"6,29667"
"12,60200";"32,60387";"6,15349"
"12,70200";"32,70399";"5,98932"
"12,80200";"32,80422";"5,79065"
"12,90200";"32,90385";"5,67146"
"13,00200";"33,00385";"5,53357"
"13,10200";"33,10396";"5,42056"
"13,20200";"33,20407";"5,16835"
"13,30200";"33,30395";"4,82450"
"13,40200";"33,40405";"4,77978"
"13,50200";"33,50405";"4,81005"
"13,60200";"33,60392";"4,88167"
"13,70200";"33,70415";"4,98128"
"13,80200";"33,80379";"5,00573"
"13,90200";"33,90402";"5,02667"
"14,00200";"34,00425";"5,01178"
"14,10200";"34,10401";"5,01297"
"14,20200";"34,20412";"5,00226"
"14,30200";"34,30411";"4,96962"
"14,40200";"34,40387";"4,93181"
"14,50200";"34,50398";"4,88150"
"14,60200";"34,60397";"4,82819"
"14,70200";"34,70397";"4,80931"
"14,80200";"34,80420";"4,77235"
"14,90200";"34,90395";"4,75950"
"15,00200";"35,00371";"4,70468"
"15,10200";"35,10394";"4,69244"
"15,20200";"35,20382";"4,64228"
"15,30200";"35,30416";"4,63020"
"15,40200";"35,40403";"4,60605"
"15,50200";"35,50391";"4,62398"
"15,60200";"35,60402";"4,58778"
"15,70200";"35,70390";"4,56718"
"15,80200";"35,80365";"4,58167"
"15,90200";"35,90412";"4,54170"
"16,00200";"36,00399";"4,53214"
"16,10200";"36,10423";"4,55806"
"16,20200";"36,20398";"4,51305"
"16,30200";"36,30409";"4,51455"
"16,40200";"36,40373";"4,53819"
"16,50200";"36,50372";"4,57196"
"16,60200";"36,60419";"4,57639"
"16,70200";"36,70406";"4,60624"
"16,80200";"36,80406";"4,63619"
"16,90200";"36,90393";"4,67250"
"17,00200";"37,00404";"4,71503"
"17,10200";"37,10404";"4,75473"
"17,20200";"37,20403";"4,79185"
"17,30200";"37,30402";"4,83269"
"17,40200";"37,40413";"4,87939"
"17,50200";"37,50412";"4,88233"
"17,60200";"37,60400";"4,90451"
"17,70200";"37,70364";"4,94495"
"17,80200";"37,80399";"4,95149"
"17,90200";"37,90422";"4,95261"
"18,00200";"38,00409";"4,96518"
"18,10200";"38,10408";"4,95091"
"18,20200";"38,20408";"5,01348"
"18,30200";"38,30431";"5,15723"
"18,40200";"38,40395";"5,26971"
"18,50200";"38,50382";"5,33989"
"18,60200";"38,60393";"5,39458"
"18,70200";"38,70393";"5,44886"
"18,80200";"38,80392";"5,47635"
"18,90200";"38,90403";"5,53773"
"19,00200";"39,00391";"5,57764"
"19,10200";"39,10390";"5,68902"
"19,20200";"39,20401";"5,79011"
"19,30200";"39,30400";"5,84152"
"19,40200";"39,40411";"5,91111"
"19,50200";"39,50399";"5,96793"
"19,60200";"39,60386";"5,99414"
"19,70200";"39,70409";"6,05158"
"19,80200";"39,80408";"6,08554"
"19,90200";"39,90408";"6,14340"
"20,00200";"40,00384";"6,16103"
"20,10200";"40,10395";"6,22899"
