Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,01417"
"0,10000";"0,28747";"0,01200"
"0,20000";"0,60503";"0,02005"
"0,30000";"0,90619";"0,01975"
"0,40000";"1,20606";"0,01560"
"0,50000";"1,50662";"0,01248"
"0,60000";"1,80625";"0,01627"
"0,70000";"2,10576";"0,00181"
"0,80000";"2,40621";"0,01590"
"0,90000";"2,70619";"0,00052"
"1,00000";"3,00593";"0,01843"
"1,10000";"3,30603";"0,00091"
"1,20000";"3,60601";"-0,00946"
"1,30000";"3,90622";"0,00699"
"1,40000";"4,20608";"0,00441"
"1,50000";"4,50606";"0,00311"
"1,60000";"4,80604";"0,01842"
"1,70000";"5,10614";"0,01131"
"1,80000";"5,40600";"0,00405"
"1,90000";"5,70633";"0,00631"
"2,00000";"6,00608";"0,01113"
"2,10000";"6,30570";"0,03143"
"2,20000";"6,60603";"0,00755"
"2,30000";"6,90625";"0,00985"
"2,40000";"7,20611";"0,00506"
"2,50000";"7,50597";"0,00967"
"2,60000";"7,80595";"0,01011"
"2,70000";"8,10581";"0,00827"
"2,80000";"8,40591";"0,02114"
"2,90000";"8,70589";"0,00422"
"3,00000";"9,00622";"0,02703"
"3,10000";"9,30608";"0,01859"
"3,20000";"9,60594";"0,00439"
"3,30000";"9,90581";"-0,00622"
"3,40000";"10,20614";"0,01515"
"3,50000";"10,50624";"0,00697"
"3,60000";"10,80574";"0,01404"
"3,70000";"11,10584";"0,01806"
"3,80000";"11,40617";"0,01891"
"3,90000";"11,70592";"0,00421"
"4,00000";"12,00601";"0,00399"
"4,10000";"12,30599";"0,00489"
"4,20000";"12,60562";"0,00618"
"4,30000";"12,90583";"0,00741"
"4,40000";"13,20605";"0,04675"
"4,50000";"13,50603";"0,02562"
"4,60000";"13,80589";"0,01863"
"4,70000";"14,10598";"0,02440"
"4,80000";"14,40620";"0,00616"
"4,90000";"14,70606";"0,00534"
"5,00000";"15,00604";"0,02783"
"5,10000";"15,30578";"0,00928"
"5,20000";"15,60612";"0,00381"
"5,30000";"15,90598";"0,00949"
"5,40000";"16,20608";"0,01310"
"5,50000";"16,50606";"0,01510"
"5,60000";"16,80580";"0,01842"
"5,70000";"17,10590";"0,02039"
"5,80000";"17,40623";"0,00583"
"5,90000";"17,70609";"0,01197"
"6,00000";"18,00607";"0,03818"
"6,10000";"18,30593";"0,01767"
"6,20000";"18,60579";"0,01661"
"6,30000";"18,90601";"0,01663"
"6,40000";"19,20599";"0,00192"
"6,50000";"19,50620";"0,01584"
"6,60000";"19,80618";"-0,00230"
"6,70000";"20,10604";"-0,00979"
"6,80000";"20,40590";"0,01352"
"6,90000";"20,70612";"0,00217"
"7,00000";"21,00610";"0,02994"
"7,10000";"21,30584";"0,00989"
"7,20000";"21,60594";"0,02778"
"7,30000";"21,90603";"0,00987"
"7,40000";"22,20590";"0,02793"
"7,50000";"22,50611";"0,00938"
"7,60000";"22,80621";"0,01155"
"7,70000";"23,10607";"0,00786"
"7,80000";"23,40593";"0,00269"
"7,90000";"23,70615";"0,02920"
"8,00000";"24,00612";"0,00728"
"8,10000";"24,30622";"0,01909"
"8,20000";"24,60608";"0,00765"
"8,30000";"24,90594";"0,01128"
"8,40000";"25,20604";"0,01299"
"8,50000";"25,50626";"0,00948"
