Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,01854"
"0,10000";"0,28758";"0,01123"
"0,20000";"0,60492";"0,00240"
"0,30000";"0,90619";"0,01659"
"0,40000";"1,20606";"0,00570"
"0,50000";"1,50651";"0,00581"
"0,60000";"1,80625";"0,01594"
"0,70000";"2,10576";"0,00298"
"0,80000";"2,40621";"0,01536"
"0,90000";"2,70619";"0,00391"
"1,00000";"3,00593";"0,00496"
"1,10000";"3,30603";"0,00181"
"1,20000";"3,60601";"0,00837"
"1,30000";"3,90610";"0,01661"
"1,40000";"4,20597";"0,00494"
"1,50000";"4,50606";"0,01087"
"1,60000";"4,80604";"0,00459"
"1,70000";"5,10614";"0,00820"
"1,80000";"5,40600";"0,00211"
"1,90000";"5,70633";"0,02260"
"2,00000";"6,00608";"0,02356"
"2,10000";"6,30582";"0,00238"
"2,20000";"6,60603";"0,01897"
"2,30000";"6,90625";"0,00867"
"2,40000";"7,20599";"0,02820"
"2,50000";"7,50597";"0,02212"
"2,60000";"7,80595";"0,00996"
"2,70000";"8,10593";"0,02462"
"2,80000";"8,40591";"0,01584"
"2,90000";"8,70589";"0,01066"
"3,00000";"9,00622";"0,01841"
"3,10000";"9,30608";"0,02416"
"3,20000";"9,60594";"0,01346"
"3,30000";"9,90592";"0,01171"
"3,40000";"10,20614";"0,02113"
"3,50000";"10,50624";"0,00476"
"3,60000";"10,80586";"0,00915"
"3,70000";"11,10596";"0,01728"
"3,80000";"11,40606";"0,01784"
"3,90000";"11,70592";"0,02333"
"4,00000";"12,00613";"0,01623"
"4,10000";"12,30611";"0,00702"
"4,20000";"12,60550";"0,00861"
"4,30000";"12,90583";"0,01594"
"4,40000";"13,20605";"0,01513"
"4,50000";"13,50603";"0,02295"
"4,60000";"13,80589";"0,01350"
"4,70000";"14,10598";"0,00572"
"4,80000";"14,40608";"0,00336"
"4,90000";"14,70595";"0,02701"
"5,00000";"15,00592";"-0,01007"
"5,10000";"15,30578";"0,01446"
"5,20000";"15,60600";"0,02026"
"5,30000";"15,90598";"0,01049"
"5,40000";"16,20596";"0,02587"
"5,50000";"16,50582";"0,00765"
"5,60000";"16,80568";"0,03262"
"5,70000";"17,10590";"0,00292"
"5,80000";"17,40623";"-0,00354"
"5,90000";"17,70597";"0,01527"
"6,00000";"18,00607";"0,00796"
"6,10000";"18,30605";"0,01515"
"6,20000";"18,60579";"0,00177"
"6,30000";"18,90601";"0,01036"
"6,40000";"19,20599";"0,00602"
"6,50000";"19,50620";"0,01257"
"6,60000";"19,80618";"0,01581"
"6,70000";"20,10604";"0,02308"
"6,80000";"20,40590";"0,01859"
"6,90000";"20,70624";"0,02960"
"7,00000";"21,00610";"0,00758"
"7,10000";"21,30584";"0,02816"
"7,20000";"21,60594";"0,02213"
"7,30000";"21,90603";"0,02858"
"7,40000";"22,20590";"0,02172"
"7,50000";"22,50611";"0,00332"
"7,60000";"22,80621";"0,01231"
"7,70000";"23,10607";"0,03585"
"7,80000";"23,40593";"0,00331"
"7,90000";"23,70615";"0,00824"
"8,00000";"24,00624";"0,01947"
"8,10000";"24,30622";"0,00596"
"8,20000";"24,60620";"0,02911"
"8,30000";"24,90606";"0,03008"
"8,40000";"25,20604";"0,00558"
"8,50000";"25,50614";"0,01400"
"8,60000";"25,80588";"-0,00832"
"8,70000";"26,10610";"0,00707"
"8,80000";"26,40608";"0,00483"
"8,90000";"26,70606";"0,01138"
"9,00000";"27,00603";"0,02451"
"9,10000";"27,30589";"0,01643"
"9,20000";"27,60576";"0,02333"
"9,30000";"27,90621";"0,01270"
"9,40000";"28,20595";"0,01208"
"9,50000";"28,50605";"0,01419"
"9,60000";"28,80603";"0,02447"
"9,70000";"29,10601";"0,02787"
"9,80000";"29,40599";"0,01324"
"9,90000";"29,70597";"0,00464"
"9,99800";"30,00004";"0,02501"
"10,00000";"30,00606";"0,02343"
"10,10000";"30,10971";"0,01546"
"10,20000";"30,20061";"0,02413"
"10,30000";"30,29978";"0,02144"
"10,40000";"30,39978";"0,01437"
"10,50000";"30,50001";"0,00014"
"10,60000";"30,60000";"0,03191"
"10,70000";"30,70011";"0,02082"
"10,80000";"30,79987";"0,01480"
"10,90000";"30,89974";"0,00992"
"11,00000";"31,00009";"-0,00772"
"11,10000";"31,10008";"0,02221"
"11,20000";"31,19996";"0,00074"
"11,30000";"31,29995";"0,01318"
"11,40000";"31,40018";"0,01441"
"11,50000";"31,50018";"0,02121"
"11,60000";"31,59981";"0,01700"
"11,70000";"31,69981";"0,02149"
"11,80000";"31,80004";"0,03940"
"11,90000";"31,89979";"0,02115"
"12,00000";"32,00014";"0,00062"
"12,10000";"32,10001";"0,01100"
"12,20000";"32,19989";"0,02068"
"12,30000";"32,29988";"0,00808"
"12,40000";"32,39999";"0,01614"
"12,50000";"32,50011";"0,03153"
"12,60000";"32,59986";"0,01707"
"12,70000";"32,69974";"0,00598"
"12,80000";"32,80020";"0,02296"
"12,90000";"32,89984";"0,01471"
"13,00000";"32,99995";"0,02439"
"13,10000";"33,09995";"0,02261"
"13,20000";"33,19994";"0,00436"
"13,30000";"33,30029";"0,02189"
"13,40000";"33,40004";"0,03240"
"13,50000";"33,49992";"0,02939"
"13,60000";"33,60003";"0,02807"
"13,70000";"33,70002";"0,02613"
"13,80000";"33,79978";"0,02156"
"13,90000";"33,90001";"0,01585"
"14,00000";"34,00000";"0,02055"
"14,10000";"34,09999";"0,18601"
"14,20000";"34,20011";"0,38610"
"14,30000";"34,29998";"0,61717"
"14,40000";"34,39997";"0,85957"
"14,50000";"34,50032";"1,16775"
"14,60000";"34,60008";"1,52386"
"14,70000";"34,70007";"1,99288"
"14,80000";"34,80018";"3,58981"
"14,90000";"34,89982";"5,53349"
"15,00000";"34,99981";"6,68608"
"15,10000";"35,09992";"7,41568"
"15,20000";"35,20015";"7,90623"
"15,30000";"35,30015";"8,22292"
"15,40000";"35,39990";"8,41958"
"15,50000";"35,49990";"8,49162"
"15,60000";"35,59989";"8,51626"
"15,70000";"35,70000";"8,44975"
"15,80000";"35,80011";"8,36269"
"15,90000";"35,89999";"8,26077"
"16,00000";"35,99998";"8,16166"
"16,10000";"36,09997";"8,04995"
"16,20000";"36,19973";"7,87811"
"16,30000";"36,29984";"7,54143"
"16,40000";"36,40019";"6,89690"
"16,50000";"36,49983";"5,90582"
"16,60000";"36,60018";"5,68466"
"16,70000";"36,70017";"5,69359"
"16,80000";"36,79980";"5,47907"
"16,90000";"36,89992";"6,66890"
"17,00000";"36,99991";"7,26930"
"17,10000";"37,09991";"7,56609"
"17,20000";"37,20013";"7,79054"
"17,30000";"37,29988";"7,94605"
"17,40000";"37,39976";"8,02627"
"17,50000";"37,49999";"8,02526"
"17,60000";"37,59999";"8,07139"
"17,70000";"37,69998";"8,13409"
"17,80000";"37,79985";"8,18562"
"17,90000";"37,89985";"8,21488"
"18,00000";"38,00019";"7,96153"
"18,10000";"38,09995";"8,19775"
"18,20000";"38,19959";"8,27176"
"18,30000";"38,30017";"8,30708"
"18,40000";"38,40005";"8,30425"
"18,50000";"38,50005";"8,30798"
"18,60000";"38,60004";"8,33731"
"18,70000";"38,70015";"8,32531"
"18,80000";"38,79979";"8,33685"
"18,90000";"38,90001";"8,34282"
"19,00000";"39,00001";"8,34693"
"19,10000";"39,10024";"8,37538"
"19,20000";"39,20023";"8,37478"
"19,30000";"39,30011";"8,37140"
"19,40000";"39,39998";"8,34963"
"19,50000";"39,49986";"8,37651"
"19,60000";"39,59997";"8,36292"
"19,70000";"39,69996";"8,37087"
"19,80000";"39,79995";"8,34371"
"19,90000";"39,90018";"8,34873"
"20,00000";"40,00018";"8,34181"
"20,10000";"40,09982";"8,32823"
"20,20000";"40,20005";"8,33913"
"20,30000";"40,30003";"8,31281"
"20,40000";"40,40003";"8,32480"
"20,50000";"40,50014";"8,30703"
"20,60000";"40,60025";"8,28578"
"20,70000";"40,70024";"8,26526"
"20,80000";"40,79988";"8,25477"
"20,90000";"40,89988";"8,24224"
"21,00000";"40,99998";"8,24873"
"21,10000";"41,10010";"8,25964"
