	8perc/csv/8percA Specimen_RawData_1.csv	8perc/csv/8percA Specimen_RawData_2.csv	8perc/csv/8percA Specimen_RawData_3.csv	8perc/csv/8percA Specimen_RawData_4.csv	8perc/csv/8percA Specimen_RawData_5.csv	8perc/csv/8percA Specimen_RawData_6.csv	8perc/csv/8percB Specimen_RawData_1.csv	8perc/csv/8percB Specimen_RawData_2.csv	8perc/csv/8percB Specimen_RawData_3.csv	8perc/csv/8percB Specimen_RawData_4.csv	8perc/csv/8percB Specimen_RawData_5.csv	8perc/csv/8percB Specimen_RawData_6.csv
26.400000000000002	0.40271	0.43246		0.43266					0.45645			0.4776
26.7	0.39873	0.43316		0.42857					0.45504			0.46918
27.000000000000004	0.38758	0.42036		0.43408					0.46022			0.47991
27.3	0.39429	0.41872		0.42632					0.45904			0.45915
27.599999999999998	0.40936	0.41872		0.42492					0.46553			0.48944
27.900000000000002	0.39647	0.41716		0.41837					0.47331			0.4824
28.2	0.41815	0.42003		0.41303					0.46794			0.47459
28.500000000000004	0.41267	0.42001		0.41175					0.47768			0.48671
28.8	0.41121	0.42684		0.43833999999999995		0.44854			0.47502			0.473395
28.900000000000002	0.40753			0.41161		0.44451						0.47053
29.000000000000004	0.39667			0.42763								0.47911
29.099999999999998	0.39857	0.42221		0.42744		0.43954			0.45976			0.47719
29.2	0.40932			0.43964		0.4286						0.47909
29.3	0.4056			0.4249		0.4441						0.46142
29.400000000000002	0.40627	0.42118		0.43266		0.46326			0.47231			0.46888
29.500000000000004	0.40166			0.42325								0.48265
29.599999999999998	0.41157			0.43202		0.44227						0.48063
29.7	0.52075	0.72516		0.45815		0.49769			0.86767			0.47313
29.8	0.68665			0.52898		0.66046						0.55423
29.900000000000002	0.94099			0.77612		0.8428						0.80983
30.000000000000004	1.28146	2.6215		1.11444					3.83461			1.1761
30.099999999999998	1.68045			1.5889		2.54996						1.58862
30.2	2.11939			2.15005		5.02058						1.99211
30.3	2.67744	9.011445		3.11361		6.96118			8.39304			2.42347
30.400000000000002	4.0795	7.9543		5.34855		7.79932			7.1507			4.05499
30.500000000000004	6.45206	8.06285		6.71828					7.24171			6.30116
30.599999999999998	7.71019	8.17521		7.56587		7.95006			7.23068			7.43456
30.7	8.30361	8.11335		7.95278		7.92313			7.16524			7.79928
30.8	8.55209	7.98885		8.02083		7.84249			7.05457			7.85133
30.900000000000002	8.39725	7.79586		8.03529		7.72289			7.02251			7.78442
31.000000000000004	8.37836	7.58974		8.00512					6.96933			7.6836
31.099999999999998	8.27903	7.52999		7.96509		7.48514			6.91926			7.58906
31.2	8.16374	7.45281		7.91039		7.42707			6.91163			7.50211
31.3	8.07228	7.35406		7.88084		7.37454			6.85961			7.40895
31.400000000000002	7.98949	7.26433		7.81739		7.29616			6.80048			7.32502
31.500000000000004	7.88083	7.31532		7.80378					6.69587			7.21395
31.599999999999998	7.78759	7.30735		7.76365		7.13315			6.0928			7.04663
31.7	7.67916	7.24022		7.70738		7.07703			4.37983			7.04219
31.8	7.59929	7.14967		7.67171		6.9909			5.14367			6.98145
31.900000000000002	7.52948	7.12108		7.64308		6.95751			5.67264			6.86175
32.0	7.45389	7.07971	6.8359	7.5712	6.81834		7.58625	6.9926	6.20146	6.64971	7.22498	6.57043
32.099999999999994	7.40349	7.04059		7.51264		6.87485			6.41553			6.26825
32.2	7.3387	6.93453	6.87802	7.46934	6.75278	6.81324	7.43703	6.85319	6.41612	6.76767		6.39369
32.3	7.29071	6.84352		7.37525		6.76183			6.52396	6.84058	7.00829	6.45519
32.400000000000006	7.16875	6.79329		7.34218		6.71909			6.4609			6.42476
32.5	7.09693	6.81929	6.80191	7.30953	6.61193	6.6466	7.20874	6.71683	6.33172	6.94726		6.43441
32.599999999999994	7.05666	6.7791		7.24008		6.58372			6.39439			6.38329
32.7	7.00611	6.58558		7.18478	6.52037	6.53503	7.03601		6.26874	7.02876		6.3743
32.8	6.9418	6.66374		7.05372		6.43613			6.36155	7.06657		6.31957
32.89999999999999	6.87285			6.84571								6.26292
33.0	6.86018	6.60893		6.0177	6.38697	6.29104	6.13114		6.22001	6.96784		6.29297
33.099999999999994	6.80625	6.53042		5.96349					6.3115	6.51573		6.17683
33.2	6.75114	6.48722		6.19843		5.84473			6.17184	6.44686		6.12399
33.3	6.74127	6.4648		6.2245		5.63678			6.11734	6.61421		6.14167
33.39999999999999	6.68025			6.29531								6.07353
33.5	6.64357	6.37792		6.29609		5.88139			6.0106	6.79347		6.07569
33.599999999999994	6.61927	6.40917		6.56957					6.28571	6.90689		6.22714
33.7	6.5649	6.58938		6.69743		6.07888			6.32471	6.95411		6.26542
33.8	6.52413	6.6291		6.77089		6.24034			6.18634	6.99687		6.18595
33.89999999999999	6.46095			6.88842								6.26327
34.0	6.33185	6.74387		6.9345		6.35008			6.26134	6.9845		6.28609
34.099999999999994	6.29538	6.7883		6.964					6.27047	6.96924		6.34261
34.2	6.35134	6.75953		7.01893		6.43764			6.20705	6.97717		6.34766
34.3	6.38098	6.86856		7.03497		6.44124			6.31753	6.94179		6.37422
34.39999999999999	6.44732	6.89898		7.06787					6.32561			6.39254
34.5	6.48471	6.91712		7.0814		6.51531			6.3224	6.99833		6.4263
34.599999999999994	6.5197	6.94445		7.07695					6.35197	7.00598		6.44771
34.7	6.53806	6.95178		7.09198		6.52698			6.3495	7.05463		6.47076
34.8	6.51835	6.99102		7.07397		6.57585			6.36497	7.06626		6.50836
34.89999999999999	6.58739	6.98507		7.07718					6.36362			6.52136
35.0	6.57251	6.99882		7.07059		6.61374			6.41766	7.13121		6.57777
35.099999999999994	6.60957	7.01183		7.0903					6.43385	7.14565		6.59504
35.2	6.61423	7.0511		7.08092		6.63589			6.44795	7.15451		6.61438
35.3	6.62694	7.06969		7.07077		6.66719			6.4561	7.18458		6.64049
35.39999999999999	6.69906	7.0941		7.09426					6.4947			6.68354
35.5	6.73145	7.14603		7.08511		6.67727			6.47932	7.21152		6.68531
