Hardness 1 : Kraftbei  Hardness 1;"369,76801";N
A1 : A1;"0,88778";J
A2 : A2;"0,09504";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,10705";
Chewiness : Chewiness;"0,02595";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,47926"
"0,01000";"0,00094";"0,47606"
"0,02000";"0,00578";"0,47390"
"0,03000";"0,01653";"0,47902"
"0,04000";"0,03164";"0,48908"
"0,05000";"0,04935";"0,49917"
"0,06000";"0,06824";"0,50106"
"0,07000";"0,08748";"0,49478"
"0,08000";"0,10637";"0,49236"
"0,09000";"0,12467";"0,48576"
"0,10000";"0,14249";"0,48606"
"0,11000";"0,15961";"0,48009"
"0,12000";"0,17626";"0,47609"
"0,13000";"0,19278";"0,47444"
"0,14000";"0,20884";"0,46784"
"0,15000";"0,22466";"0,46710"
"0,16000";"0,24036";"0,46611"
"0,17000";"0,25594";"0,46526"
"0,18000";"0,27141";"0,46490"
"0,19000";"0,28664";"0,46406"
"0,20000";"0,30199";"0,47161"
"0,21000";"0,31733";"0,48022"
"0,22000";"0,33244";"0,48622"
"0,23000";"0,34767";"0,48373"
"0,24000";"0,36267";"0,48016"
"0,25000";"0,37778";"0,48210"
"0,26000";"0,39277";"0,48055"
"0,27000";"0,40776";"0,47286"
"0,28000";"0,42288";"0,46455"
"0,29000";"0,43799";"0,46054"
"0,30000";"0,45298";"0,46478"
"0,31000";"0,46809";"0,47616"
"0,32000";"0,48308";"0,48517"
"0,33000";"0,49808";"0,48475"
"0,34000";"0,51295";"0,47553"
"0,35000";"0,52794";"0,46429"
"0,36000";"0,54294";"0,46314"
"0,37000";"0,55805";"0,46058"
"0,38000";"0,57304";"0,46263"
"0,39000";"0,58815";"0,46470"
"0,40000";"0,60315";"0,46264"
"0,41000";"0,61814";"0,46234"
"0,42000";"0,63301";"0,46321"
"0,43000";"0,64812";"0,46981"
"0,44000";"0,66324";"0,46353"
"0,45000";"0,67823";"0,46240"
"0,46000";"0,69310";"0,46772"
"0,47000";"0,70810";"0,46957"
"0,48000";"0,72297";"0,47477"
"0,49000";"0,73808";"0,48024"
"0,50000";"0,75308";"0,48521"
"0,51000";"0,76807";"0,48654"
"0,52000";"0,78306";"0,47953"
"0,53000";"0,79817";"0,46629"
"0,54000";"0,81317";"0,46090"
"0,55000";"0,82816";"0,46424"
"0,56000";"0,84315";"0,46260"
"0,57000";"0,85803";"0,46239"
"0,58000";"0,87302";"0,45682"
"0,59000";"0,88790";"0,45852"
"0,60000";"0,90301";"0,46804"
"0,61000";"0,91800";"0,47341"
"0,62000";"0,93311";"0,47312"
"0,63000";"0,94810";"0,46723"
"0,64000";"0,96310";"0,46620"
"0,65000";"0,97797";"0,46549"
"0,66000";"0,99308";"0,46470"
"0,67000";"1,00796";"0,46314"
"0,68000";"1,02307";"0,46948"
"0,69000";"1,03806";"0,46810"
"0,70000";"1,05306";"0,46640"
"0,71000";"1,06805";"0,46488"
"0,72000";"1,08304";"0,46565"
"0,73000";"1,09803";"0,47148"
"0,74000";"1,11303";"0,47317"
"0,75000";"1,12802";"0,47213"
"0,76000";"1,14313";"0,47535"
"0,77000";"1,15801";"0,47952"
"0,78000";"1,17300";"0,48114"
"0,79000";"1,18799";"0,47586"
"0,80000";"1,20299";"0,47294"
"0,81000";"1,21798";"0,47429"
"0,82000";"1,23297";"0,47438"
"0,83000";"1,24808";"0,47561"
"0,84000";"1,26308";"0,47357"
"0,85000";"1,27819";"0,46060"
"0,86000";"1,29306";"0,45401"
"0,87000";"1,30806";"0,45123"
"0,88000";"1,32305";"0,45786"
"0,89000";"1,33792";"0,45992"
"0,90000";"1,35292";"0,45678"
"0,91000";"1,36791";"0,45597"
"0,92000";"1,38302";"0,45641"
"0,93000";"1,39801";"0,45686"
"0,94000";"1,41301";"0,46036"
"0,95000";"1,42800";"0,46385"
"0,96000";"1,44299";"0,46405"
"0,97000";"1,45799";"0,46253"
"0,98000";"1,47286";"0,46294"
"0,99000";"1,48797";"0,46471"
"1,00000";"1,50308";"0,46577"
"1,01000";"1,51808";"0,46250"
"1,02000";"1,53307";"0,46361"
"1,03000";"1,54806";"0,45734"
"1,04000";"1,56306";"0,45651"
"1,05000";"1,57793";"0,46081"
"1,06000";"1,59292";"0,47056"
"1,07000";"1,60803";"0,47779"
"1,08000";"1,62303";"0,47860"
"1,09000";"1,63814";"0,48447"
"1,10000";"1,65301";"0,49345"
"1,11000";"1,66801";"0,49354"
"1,12000";"1,68300";"0,48804"
"1,13000";"1,69799";"0,48325"
"1,14000";"1,71299";"0,48193"
"1,15000";"1,72810";"0,48031"
"1,16000";"1,74309";"0,47571"
"1,17000";"1,75820";"0,47481"
"1,18000";"1,77308";"0,47634"
"1,19000";"1,78807";"0,47589"
"1,20000";"1,80306";"0,47034"
"1,21000";"1,81794";"0,46787"
"1,22000";"1,83293";"0,47150"
"1,23000";"1,84792";"0,47896"
"1,24000";"1,86303";"0,47655"
"1,25000";"1,87803";"0,46954"
"1,26000";"1,89302";"0,46558"
"1,27000";"1,90801";"0,45612"
"1,28000";"1,92301";"0,44904"
"1,29000";"1,93800";"0,43670"
"1,30000";"1,95288";"0,43076"
"1,31000";"1,96787";"0,44158"
"1,32000";"1,98298";"0,45052"
"1,33000";"1,99797";"0,45393"
"1,34000";"2,01285";"0,45542"
"1,35000";"2,02784";"0,45566"
"1,36000";"2,04283";"0,46063"
"1,37000";"2,05783";"0,47126"
"1,38000";"2,07294";"0,47286"
"1,39000";"2,08793";"0,47300"
"1,40000";"2,10292";"0,47436"
"1,41000";"2,11803";"0,46519"
"1,42000";"2,13303";"0,46541"
"1,43000";"2,14802";"0,46999"
"1,44000";"2,16301";"0,46946"
"1,45000";"2,17801";"0,46345"
"1,46000";"2,19300";"0,46314"
"1,47000";"2,20788";"0,46568"
"1,48000";"2,22299";"0,46786"
"1,49000";"2,23786";"0,47480"
