;8perc/csv/8p_freezSpecimen_RawData_9.csv;8perc/csv/8p_freezSpecimen_RawData_10.csv;8perc/csv/8p_freezSpecimen_RawData_1.csv;8perc/csv/8p_freezSpecimen_RawData_8.csv;8perc/csv/8p_freezSpecimen_RawData_2.csv;8perc/csv/8p_freezSpecimen_RawData_6.csv;8perc/csv/8p_freezSpecimen_RawData_4.csv;8perc/csv/8p_freezSpecimen_RawData_5.csv;8perc/csv/8p_freezSpecimen_RawData_3.csv;8perc/csv/8p_freezSpecimen_RawData_7.csv
-2.0;;;0.11566333333333334;;;;;;;
-1.9000000000000004;0.17105;0.18595333333333333;0.09088272727272727;;;0.16740666666666668;0.12559;0.13941333333333333;0.13050333333333333;0.17318666666666668
-1.9;0.16272318181818182;0.17780893939393938;0.08089086363636364;;;0.1422969696969697;0.1250168181818182;0.13084530303030303;0.12197803030303031;0.14875742424242425
-1.8000000000000007;0.15439636363636364;0.16966454545454546;0.070899;0.15781666666666666;0.13423666666666667;0.11718727272727274;0.12444363636363637;0.12227727272727273;0.11345272727272727;0.12432818181818182
-1.8;0.15074052272727273;0.16543615909090909;0.072292;0.15620378787878786;0.12226424242424244;0.11632045454545456;0.12198247727272728;0.12019170454545455;0.11120654545454545;0.12423163636363638
-1.7999999999999998;0.14708468181818182;0.1612077727272727;0.073685;0.15539734848484849;0.11627803030303033;0.11545363636363637;0.11952131818181819;0.11810613636363636;0.10896036363636363;0.12413509090909092
-1.700000000000001;0.139773;0.152751;0.07461366666666666;0.15459090909090908;0.1102918181818182;0.11372;0.114599;0.11393499999999998;0.104468;0.123942
-1.7;0.1434175;0.15381;0.07554233333333334;0.14719295454545456;0.1053464090909091;0.115593;0.113012;0.11289924999999998;0.10510725;0.1250305
-1.6999999999999997;0.147062;0.15486899999999998;0.076471;0.14472696969696972;0.1036979393939394;0.11746600000000001;0.11142500000000001;0.11186349999999999;0.1057465;0.126119
-1.6999999999999993;0.14888425;0.1553985;0.079257;0.14226098484848484;0.10204946969696971;0.11840250000000002;0.11063150000000001;0.11134562499999999;0.106066125;0.12666325
-1.6000000000000014;0.1507065;0.15592799999999998;0.08043207407407407;0.139795;0.100401;0.11933900000000001;0.10983800000000002;0.11082775;0.10638575;0.12720750000000003
-1.5999999999999999;0.15252875;0.15645749999999997;0.08160714814814815;0.135365;0.09833800000000001;0.12027550000000001;0.10904450000000002;0.110309875;0.10670537499999999;0.12775175000000003
-1.5999999999999996;0.154351;0.156987;0.08278222222222223;0.13315;0.0973065;0.12121200000000001;0.10825100000000001;0.109792;0.107025;0.12829600000000002
-1.5;0.14371444444444445;0.15134111111111112;0.077086;0.130935;0.096275;0.11436666666666667;0.10265333333333333;0.11859222222222224;0.11587555555555556;0.12548777777777775
-1.4999999999999998;0.14408833333333332;0.15364533333333336;0.078537;0.13561583333333332;0.10051083333333333;0.1167075;0.10493274999999999;0.11625891666666668;0.11417866666666668;0.12306533333333332
-1.4999999999999996;0.14446222222222221;0.15594955555555556;0.079988;0.13795625;0.10262874999999999;0.11904833333333334;0.10721216666666666;0.11392561111111112;0.11248177777777779;0.12064288888888888
-1.4000000000000004;0.14521;0.160558;0.08288999999999999;0.14029666666666665;0.10474666666666667;0.12373;0.111771;0.109259;0.109088;0.115798
-1.3999999999999997;0.146721;0.16045350000000003;0.08301025;0.13870583333333333;0.10517933333333333;0.12310275000000001;0.111156;0.107884;0.10968025;0.11902675000000001
-1.3999999999999995;0.148232;0.16034900000000002;0.0831305;0.13791041666666667;0.10539566666666667;0.1224755;0.110541;0.10650899999999999;0.1102725;0.12225550000000002
-1.3000000000000007;0.151254;0.16014;0.083371;0.13711500000000001;0.105612;0.121221;0.109311;0.103759;0.111457;0.12871300000000002
-1.2999999999999996;0.15127675000000002;0.16106025000000002;0.08185552272727273;0.13605650000000002;0.10414799999999999;0.12390475;0.10847100000000001;0.107742;0.110873;0.1330945
-1.2999999999999994;0.1512995;0.1619805;0.08034004545454546;0.13552725000000002;0.103416;0.1265885;0.107631;0.11172499999999999;0.110289;0.13747600000000001
-1.200000000000001;0.151345;0.163821;0.07932972727272727;0.134998;0.102684;0.13195600000000002;0.10595099999999999;0.11969099999999999;0.109121;0.146239
-1.1999999999999995;0.15124875000000002;0.1609023409090909;0.07831940909090909;0.133079;0.108526;0.13130086363636365;0.10638393181818181;0.12019052272727272;0.10882143181818181;0.14211629545454546
-1.1999999999999993;0.15115250000000002;0.15798368181818181;0.07730909090909091;0.1321195;0.11144699999999999;0.13064572727272727;0.10681686363636363;0.12069004545454545;0.10852186363636362;0.1379935909090909
-1.1000000000000014;0.15105625;0.15506502272727274;0.07818504545454547;0.13116;0.114368;0.12999059090909093;0.10724979545454544;0.12118956818181818;0.10822229545454545;0.13387088636363637
-1.0999999999999996;0.15096;0.15214636363636364;0.079061;0.13166363636363637;0.1122519090909091;0.12933545454545456;0.10768272727272726;0.12168909090909091;0.10792272727272727;0.12974818181818182
-1.0999999999999994;0.1497805;0.15447077272727272;0.08091324999999999;0.13216727272727274;0.11013581818181818;0.12555784090909092;0.10840804545454544;0.12191356818181819;0.10718104545454546;0.12943763636363637
-1.0999999999999992;0.148601;0.1567951818181818;0.08276549999999999;0.13267090909090912;0.10801972727272727;0.12178022727272728;0.10913336363636363;0.12213804545454546;0.10643936363636364;0.1291270909090909
-1.0;0.146242;0.161444;0.08646999999999999;0.13317454545454546;0.10590363636363637;0.114225;0.11058399999999999;0.122587;0.10495600000000001;0.12850599999999998
-0.9999999999999993;0.14774733333333334;0.16115494444444445;0.08476772727272727;0.14504277272727273;0.10559831818181818;0.11606152777777777;0.11026355555555555;0.12176330555555556;0.10461533333333334;0.12749088888888888
-0.9999999999999991;0.14925266666666667;0.1608658888888889;0.08306545454545454;0.15097688636363638;0.10544565909090908;0.11789805555555555;0.1099431111111111;0.12093961111111112;0.10427466666666667;0.12647577777777777
-0.9000000000000004;0.15226333333333333;0.16028777777777778;0.07966090909090909;0.156911;0.105293;0.1215711111111111;0.10930222222222223;0.11929222222222223;0.10359333333333333;0.12444555555555555
-0.8999999999999992;0.15297818181818182;0.1588294696969697;0.07904618181818182;0.15472327777777778;0.10384316666666667;0.12314151515151514;0.1090205303030303;0.11726575757575758;0.1048590909090909;0.1279396212121212
-0.899999999999999;0.1536930303030303;0.1573711616161616;0.07843145454545454;0.15362941666666668;0.10311825;0.12471191919191918;0.10873883838383838;0.11523929292929294;0.10612484848484849;0.13143368686868687
-0.8000000000000007;0.15512272727272727;0.15445454545454546;0.07720199999999999;0.15253555555555556;0.10239333333333334;0.12785272727272726;0.10817545454545453;0.11118636363636364;0.10865636363636363;0.13842181818181817
-0.7999999999999992;0.15422379545454545;0.1544776590909091;0.08037761111111111;0.14438959595959597;0.10326848484848486;0.12849404545454546;0.1066088409090909;0.11316827272727273;0.10837502272727273;0.14026711363636363
-0.7999999999999989;0.15332486363636363;0.15450077272727272;0.08355322222222222;0.14031661616161617;0.10370606060606061;0.12913536363636363;0.10504222727272727;0.11515018181818182;0.10809368181818182;0.14211240909090908
-0.7000000000000011;0.151527;0.154547;0.08672883333333334;0.13624363636363637;0.10414363636363637;0.13041799999999998;0.101909;0.11911400000000001;0.107531;0.145803
-0.6999999999999993;0.14986472222222222;0.15784527777777776;0.08990444444444444;0.13872422727272726;0.10278772727272728;0.12948240740740738;0.10196657407407407;0.12143000000000001;0.1086400925925926;0.14525435185185184
-0.6999999999999991;0.14820244444444441;0.16114355555555557;0.0895710606060606;0.14120481818181818;0.10143181818181818;0.1285468148148148;0.10202414814814816;0.12374600000000001;0.1097491851851852;0.1447057037037037
-0.6999999999999988;0.14654016666666664;0.16444183333333334;0.08923767676767677;0.1436854090909091;0.10007590909090909;0.1276112222222222;0.10208172222222223;0.126062;0.11085827777777779;0.14415705555555555
-0.6000000000000014;0.14404674999999997;0.16938925;0.08890429292929293;0.146166;0.09872;0.12620783333333332;0.10216808333333333;0.12953599999999998;0.11252191666666668;0.14333408333333333
-0.5999999999999996;0.1415533333333333;0.17433666666666667;0.08857090909090909;0.14531311111111112;0.10182583333333334;0.12480444444444444;0.10225444444444444;0.13301;0.11418555555555557;0.14251111111111112
-0.599999999999999;0.1445247727272727;0.16942568181818182;0.08615540404040403;0.1444602222222222;0.10493166666666666;0.12734696969696968;0.10318060606060606;0.13022954545454546;0.11377780303030303;0.1415412878787879
-0.5999999999999988;0.1474962121212121;0.16451469696969698;0.08373989898989899;0.14360733333333334;0.10803749999999998;0.12988949494949495;0.10410676767676769;0.1274490909090909;0.1133700505050505;0.14057146464646464
