;6perc/csv/6p_freezSpecimen_RawData_2.csv;6perc/csv/6p_freezSpecimen_RawData_7.csv;6perc/csv/6p_freezSpecimen_RawData_4.csv;6perc/csv/6p_freezSpecimen_RawData_3.csv;6perc/csv/6p_freezSpecimen_RawData_5.csv;6perc/csv/6p_freezSpecimen_RawData_6.csv;6perc/csv/6p_freezSpecimen_RawData_1.csv
-1.9000000000000004;0.03386666666666666;;0.028993333333333333;;0.03961666666666667;0.039286666666666664;0.0268
-1.9;0.026459242424242423;;0.015646212121212123;;0.03100787878787879;0.032017424242424236;0.017886363636363638
-1.8000000000000007;0.019051818181818184;0.03497666666666666;0.0022990909090909095;0.029496666666666668;0.02239909090909091;0.024748181818181815;0.008972727272727273
-1.8;0.019536613636363637;0.03347560606060605;0.0037133181818181818;0.015694242424242423;0.02090231818181818;0.02017163636363636;0.006304545454545455
-1.7999999999999998;0.020021409090909093;0.03272507575757575;0.005127545454545454;0.008793030303030303;0.019405545454545453;0.015595090909090907;0.0036363636363636364
-1.700000000000001;0.020991000000000003;0.03197454545454545;0.007956;0.001891818181818182;0.016412;0.006442000000000001;-0.0017000000000000001
-1.7;0.0166495;0.024662772727272724;0.00542375;0.001327909090909091;0.016711999999999998;0.008648;-0.00125275
-1.6999999999999997;0.012308000000000001;0.02100688636363636;0.0028915;0.0010459545454545457;0.017012;0.010853999999999999;-0.0008055
-1.6000000000000014;0.009413666666666667;0.017351;0.0012033333333333334;0.0007640000000000001;0.017211999999999998;0.012324666666666666;-0.0005073333333333334
-1.5999999999999999;0.0065193333333333344;0.015032499999999999;-0.0004848333333333332;-0.0003945000000000001;0.017412;0.013795333333333331;-0.00020916666666666664
-1.5999999999999996;0.0036250000000000006;0.01387325;-0.002173;-0.0009737500000000001;0.017612;0.015265999999999998;8.900000000000002e-05
-1.5;0.001681111111111111;0.012714;0.00761;-0.0015530000000000001;0.013706666666666666;0.003638888888888889;0.0017911111111111114
-1.4999999999999998;0.0010735833333333333;0.012587;0.00813675;0.0030568333333333337;0.012624999999999999;0.005111166666666667;0.0021495833333333336
-1.4999999999999996;0.0004660555555555555;0.0125235;0.0086635;0.00536175;0.011543333333333333;0.006583444444444444;0.002508055555555556
-1.4000000000000004;-0.000749;0.012459999999999999;0.009717;0.007666666666666667;0.00938;0.009528;0.003225
-1.3999999999999997;0.0016654999999999999;0.012014;0.011861;0.006047333333333333;0.01027675;0.01211825;0.0034809999999999997
-1.3999999999999995;0.00408;0.011791;0.014005;0.0052376666666666665;0.0111735;0.0147085;0.003737
-1.3000000000000007;0.008909;0.011568;0.018293;0.004428;0.012967000000000001;0.019889;0.004249
-1.2999999999999996;0.00868825;0.0150245;0.01838975;0.006971499999999999;0.011789500000000001;0.017512;0.0057905000000000005
-1.2999999999999994;0.0084675;0.01675275;0.0184865;0.008243249999999999;0.010612;0.015135;0.007332
