"0,00000";"0,00000";"0,01386"
"0,10000";"0,28652";"0,00670"
"0,20000";"0,60503";"-0,00251"
"0,30000";"0,90619";"-0,00962"
"0,40000";"1,20629";"0,01066"
"0,50000";"1,50651";"-0,00618"
"0,60000";"1,80637";"-0,00621"
"0,70000";"2,10576";"0,00105"
"0,80000";"2,40621";"-0,00482"
"0,90000";"2,70631";"-0,00124"
"1,00000";"3,00593";"-0,01117"
"1,10000";"3,30603";"-0,00292"
"1,20000";"3,60613";"-0,00494"
"1,30000";"3,90622";"0,00114"
"1,40000";"4,20608";"0,01075"
"1,50000";"4,50606";"-0,01121"
"1,60000";"4,80592";"0,01122"
"1,70000";"5,10626";"-0,00467"
"1,80000";"5,40612";"0,02848"
"1,90000";"5,70633";"-0,00327"
"2,00000";"6,00608";"-0,00992"
"2,10000";"6,30582";"0,01674"
"2,20000";"6,60615";"0,00254"
"2,30000";"6,90625";"-0,00519"
"2,40000";"7,20623";"0,02603"
"2,50000";"7,50597";"-0,00134"
"2,60000";"7,80595";"0,00695"
"2,70000";"8,10593";"0,00503"
"2,80000";"8,40615";"0,01242"
"2,90000";"8,70601";"-0,00971"
"3,00000";"9,00634";"-0,01547"
"3,10000";"9,30620";"0,00271"
"3,20000";"9,60606";"0,00959"
"3,30000";"9,90592";"-0,00336"
"3,40000";"10,20626";"-0,00477"
"3,50000";"10,50624";"-0,00632"
"3,60000";"10,80610";"-0,00283"
"3,70000";"11,10596";"0,01081"
"3,80000";"11,40617";"0,00461"
"3,90000";"11,70603";"0,00912"
"4,00000";"12,00601";"0,00257"
"4,10000";"12,30623";"0,00145"
"4,20000";"12,60550";"0,01635"
"4,30000";"12,90583";"0,00735"
"4,40000";"13,20628";"-0,02035"
"4,50000";"13,50603";"-0,02218"
"4,60000";"13,80589";"0,00266"
"4,70000";"14,10622";"0,00474"
"4,80000";"14,40620";"0,00611"
"4,90000";"14,70606";"0,00899"
"5,00000";"15,00604";"-0,01137"
"5,10000";"15,30578";"0,00225"
"5,20000";"15,60612";"0,02000"
"5,30000";"15,90610";"0,00834"
"5,40000";"16,20608";"0,02527"
"5,50000";"16,50606";"-0,00365"
"5,60000";"16,80592";"0,00916"
"5,70000";"17,10602";"0,00714"
"5,80000";"17,40623";"0,00437"
"5,90000";"17,70609";"0,00258"
"6,00000";"18,00607";"-0,00053"
"6,10000";"18,30605";"-0,01136"
"6,20000";"18,60591";"-0,00716"
"6,30000";"18,90613";"0,00140"
"6,40000";"19,20599";"-0,00095"
"6,50000";"19,50620";"0,00738"
"6,60000";"19,80630";"-0,00831"
"6,70000";"20,10616";"0,01364"
"6,80000";"20,40590";"-0,00730"
"6,90000";"20,70624";"0,00511"
"7,00000";"21,00622";"0,00969"
"7,10000";"21,30608";"0,00543"
"7,20000";"21,60605";"-0,00571"
"7,30000";"21,90603";"-0,00637"
"7,40000";"22,20590";"0,00444"
"7,50000";"22,50611";"-0,01235"
"7,60000";"22,80632";"-0,01931"
"7,70000";"23,10607";"0,00607"
"7,80000";"23,40581";"-0,01789"
"7,90000";"23,70626";"0,01222"
"8,00000";"24,00636";"-0,01039"
