;lard/csv/oilSpecimen_RawData_1.csv;lard/csv/oilSpecimen_RawData_4.csv;lard/csv/oilSpecimen_RawData_8.csv;lard/csv/oilSpecimen_RawData_5.csv;lard/csv/oilSpecimen_RawData_3.csv;lard/csv/oilSpecimen_RawData_9.csv;lard/csv/oilSpecimen_RawData_6.csv;lard/csv/oilSpecimen_RawData_7.csv;lard/csv/oilSpecimen_RawData_2.csv;lard/csv/oilSpecimen_RawData_10.csv
-1.8500000000000014;0.43093499999999996;0.460425;0.51097;0.47735;0.45251;0.48297;0.44657;0.479035;0.44723;0.49842
-1.8499999999999996;0.43082;0.46165;0.50858;0.48022;0.45584;0.485035;0.445;0.47813;0.44715;0.50025
-1.8399999999999999;0.43675;0.46149;0.5013;0.48622;0.46141;0.4871;0.45083;0.4828;0.44834;0.50272
-1.83;0.4318;0.46324;0.49392;0.48373;0.46587;0.4921;0.4662;0.49328;0.44265;0.50288
-1.8200000000000003;0.43262;0.46397;0.48759;0.48016;0.46681;0.49532;0.47335;0.49254;0.43309;0.49495
-1.8199999999999985;0.43344;0.4647;0.4821;0.48112999999999995;0.46592;0.49444;0.47478;0.493645;0.43428;0.49338666666666664
-1.8100000000000005;0.43251;0.466285;0.47661;0.4821;0.46503;0.49356;0.47621;0.49475;0.43547;0.49182333333333333
-1.8099999999999987;0.43158;0.46787;0.47704;0.481325;0.46401000000000003;0.49494;0.47824;0.49456;0.43540500000000004;0.49026
-1.8000000000000007;0.4316325;0.46521250000000003;0.47747;0.48055;0.46299;0.49632;0.48027;0.49437;0.43534;0.49043749999999997
-1.7999999999999998;0.431685;0.462555;0.48023499999999997;0.476705;0.45935000000000004;0.49365000000000003;0.47973;0.488425;0.434915;0.490615
-1.799999999999999;0.43179;0.45724;0.4816175;0.4747825;0.45753;0.49231500000000006;0.47946;0.48644333333333334;0.4347025;0.49097
-1.790000000000001;0.42843;0.45560999999999996;0.483;0.47286;0.45571;0.49098;0.47919;0.4844616666666667;0.43449;0.49392
