Hardness 1 : Kraftbei  Hardness 1;"411,36105";N
A1 : A1;"1,23442";J
A2 : A2;"0,09878";J
Springiness : Springiness;"0,00066";m
Cohesiveness : Cohesiveness;"0,08002";
Chewiness : Chewiness;"0,02158";J

Zeit;Traversenweg;Kraft
(s);(mm);(N)
"0,00000";"0,00000";"0,17606"
"0,01000";"0,00083";"0,17746"
"0,02000";"0,00531";"0,18249"
"0,03000";"0,01570";"0,19924"
"0,04000";"0,03069";"0,21549"
"0,05000";"0,04817";"0,22540"
"0,06000";"0,06706";"0,22324"
"0,07000";"0,08630";"0,21157"
"0,08000";"0,10531";"0,19919"
"0,09000";"0,12384";"0,18681"
"0,10000";"0,14190";"0,17178"
"0,11000";"0,15914";"0,16221"
"0,12000";"0,17602";"0,16118"
"0,13000";"0,19255";"0,16718"
"0,14000";"0,20872";"0,16904"
"0,15000";"0,22466";"0,17660"
"0,16000";"0,24048";"0,17128"
"0,17000";"0,25594";"0,16410"
"0,18000";"0,27141";"0,16491"
"0,19000";"0,28664";"0,17410"
"0,20000";"0,30199";"0,17819"
"0,21000";"0,31722";"0,17241"
"0,22000";"0,33244";"0,16829"
"0,23000";"0,34756";"0,17125"
"0,24000";"0,36267";"0,17394"
"0,25000";"0,37766";"0,17769"
"0,26000";"0,39265";"0,18266"
"0,27000";"0,40776";"0,18711"
"0,28000";"0,42288";"0,19175"
"0,29000";"0,43799";"0,18947"
"0,30000";"0,45310";"0,18592"
"0,31000";"0,46821";"0,18271"
"0,32000";"0,48320";"0,17914"
"0,33000";"0,49808";"0,17511"
"0,34000";"0,51307";"0,17436"
"0,35000";"0,52794";"0,17844"
"0,36000";"0,54306";"0,18466"
"0,37000";"0,55817";"0,17808"
"0,38000";"0,57316";"0,17635"
"0,39000";"0,58815";"0,17872"
"0,40000";"0,60315";"0,18305"
"0,41000";"0,61814";"0,17784"
"0,42000";"0,63313";"0,16783"
"0,43000";"0,64812";"0,16083"
"0,44000";"0,66312";"0,16215"
"0,45000";"0,67811";"0,15929"
"0,46000";"0,69310";"0,16272"
"0,47000";"0,70810";"0,16773"
"0,48000";"0,72309";"0,17208"
"0,49000";"0,73820";"0,17661"
"0,50000";"0,75308";"0,18288"
"0,51000";"0,76807";"0,18473"
"0,52000";"0,78318";"0,18256"
"0,53000";"0,79829";"0,17827"
"0,54000";"0,81328";"0,18302"
"0,55000";"0,82816";"0,17452"
"0,56000";"0,84303";"0,16709"
"0,57000";"0,85791";"0,16788"
"0,58000";"0,87290";"0,17474"
"0,59000";"0,88790";"0,17751"
"0,60000";"0,90289";"0,17453"
"0,61000";"0,91800";"0,17322"
"0,62000";"0,93299";"0,17750"
"0,63000";"0,94810";"0,18300"
"0,64000";"0,96310";"0,17577"
"0,65000";"0,97809";"0,17497"
"0,66000";"0,99308";"0,18101"
"0,67000";"1,00808";"0,18735"
"0,68000";"1,02307";"0,18779"
"0,69000";"1,03818";"0,18328"
"0,70000";"1,05317";"0,18712"
"0,71000";"1,06817";"0,18856"
"0,72000";"1,08316";"0,18856"
"0,73000";"1,09815";"0,18670"
"0,74000";"1,11303";"0,18295"
"0,75000";"1,12814";"0,17581"
"0,76000";"1,14313";"0,17536"
"0,77000";"1,15813";"0,17456"
"0,78000";"1,17300";"0,17491"
"0,79000";"1,18799";"0,17945"
"0,80000";"1,20299";"0,17915"
"0,81000";"1,21798";"0,17917"
"0,82000";"1,23309";"0,18392"
