;8perc/csv/8percB Specimen_RawData_5.csv;8perc/csv/8percA Specimen_RawData_4.csv;8perc/csv/8percB Specimen_RawData_4.csv;8perc/csv/8percB Specimen_RawData_1.csv;8perc/csv/8percA Specimen_RawData_6.csv;8perc/csv/8percB Specimen_RawData_2.csv;8perc/csv/8percA Specimen_RawData_3.csv;8perc/csv/8percB Specimen_RawData_6.csv;8perc/csv/8percA Specimen_RawData_5.csv;8perc/csv/8percA Specimen_RawData_2.csv;8perc/csv/8percB Specimen_RawData_3.csv;8perc/csv/8percA Specimen_RawData_1.csv
-1.3000000000000007;0.45091;;;;;;;;;;;
-1.3;0.4553475;;;;;;;;;;;
-1.2;0.459785;;;;;;;;;;;
-1.1;0.46200375;;;;;;;;;;;
-1.0999999999999999;0.4642225;;;;;;;;;;;
-1.0999999999999979;0.46644125000000003;;;;;0.44355;0.42922;;;;;
-1.0;0.46866;;;;0.41452;0.442405;0.4298875;;;;;
-0.9999999999999998;0.46601750000000003;;;;0.4156425;0.4420233333333333;0.43011;;;;;
-0.9;0.4651366666666667;;;;0.416765;0.44164166666666665;0.4303325;;;;;
-0.8999999999999999;0.4642558333333333;;;;0.41732625;0.44126;0.430555;;;;;
-0.8999999999999997;0.463375;;;;0.41788749999999997;0.44097375;0.43072187500000003;;;;;
-0.8999999999999986;0.462714375;0.42574;;;0.41844875;0.4406875;0.43088875000000004;0.4704;;;;0.39421
-0.8;0.46205375;0.425765;;;0.41901;0.44040125;0.431055625;0.46164499999999997;;;;0.39643
-0.7999999999999998;0.46139312499999996;0.42577;;;0.41945899999999997;0.44011500000000003;0.4312225;0.45989399999999997;;;;0.396874
-0.7999999999999996;0.4607325;0.425775;;;0.419908;0.43954250000000006;0.43155625;0.45814299999999997;;;;0.397318
-0.7999999999999972;0.45941125;0.42578;;;0.420357;0.43897;0.43189;0.456392;;;;0.397762
-0.7000000000000028;0.45809;0.425785;;;0.420806;0.4399366666666667;0.4310733333333333;0.454641;;;;0.398206
-0.7000000000000001;0.45937625;0.42579;;;0.421255;0.44090333333333337;0.4302566666666667;0.45289;;;;0.39865
-0.7;0.4606625;0.425795;;;0.42181625;0.44187000000000004;0.42944000000000004;0.451139;;;;0.399094
-0.6999999999999997;0.46194875;0.4258;;;0.42237749999999996;0.4428366666666667;0.42862333333333336;0.449388;;;;0.399538
-0.6999999999999995;0.463235;0.425805;;;0.42293875;0.44361000000000006;0.42797;0.447637;;;;0.399982
-0.6999999999999993;0.464264;0.42581;0.48336;;0.4235;0.44438333333333335;0.4273166666666667;0.445886;;;;0.400426
-0.6000000000000001;0.465293;0.425815;0.48297625;;0.43127333333333334;0.4451566666666667;0.42666333333333334;0.444135;;;;0.40087
-0.6;0.466322;0.42582125;0.4825925;;0.432828;0.44593;0.42601;0.44194625;;;;0.40142500000000003
