;6perc/csv/6percA Specimen_RawData_3.csv;6perc/csv/6percA Specimen_RawData_4.csv;6perc/csv/6percB Specimen_RawData_3.csv;6perc/csv/6percB Specimen_RawData_6.csv;6perc/csv/6percA Specimen_RawData_2.csv;6perc/csv/6percB Specimen_RawData_4.csv;6perc/csv/6percB Specimen_RawData_2.csv;6perc/csv/6percB Specimen_RawData_5.csv;6perc/csv/6percB Specimen_RawData_1.csv;6perc/csv/6percA Specimen_RawData_6.csv;6perc/csv/6percA Specimen_RawData_1.csv;6perc/csv/6percA Specimen_RawData_5.csv
-1.9000000000000021;;;;;;;;;;;;0.34195
-1.9;;;;;;;;;;;;0.34213499999999997
-1.7999999999999998;;;;;;;;;;;;0.34231999999999996
-1.6999999999999997;;;;;;;;;;;;0.342505
-1.6000000000000014;;;;;;;;;;;;0.34269
-1.6;;;;;;;;;;;;0.34079499999999996
-1.5999999999999996;;;;;;;;;;;;0.3389
-1.5999999999999979;;;;;0.3333;;;;;;0.31239;0.33763666666666664
-1.5;;;;;0.3357475;;;;;;0.31391;0.33637333333333336
-1.4999999999999996;;;;;0.33697125;;;;;;0.31467;0.33511
-1.4;;;;;0.338195;;;;;;0.31543;0.33321500000000004
-1.3999999999999995;;;;;0.3390108333333334;;;;;;0.31593666666666664;0.33132
-1.3000000000000043;;;;;0.33982666666666667;;;;;;0.3164433333333333;0.32753
-1.2999999999999998;;;;;0.3406425;;;;;;0.31694999999999995;0.327825
-1.2999999999999994;;;;;0.34186625000000004;;;;;;0.31770999999999994;0.32811999999999997
-1.2999999999999972;;;;;0.34309;;;;;;0.31847;0.3282675
-1.2;;;;;0.342415;;;;;;0.31582166666666667;0.328415
-1.1999999999999997;;;;;0.34174;;;;;;0.3131733333333333;0.3285625
-1.1999999999999993;;;;;0.34129;;;;0.34913;;0.3114077777777778;0.32871
-1.0999999999999999;;;;;0.34084000000000003;;;;0.3474;;0.3096422222222222;0.3289066666666667
-1.0999999999999996;;;;;0.34039;;;;0.347054;;0.3078766666666667;0.32910333333333336
-1.0999999999999992;;;;;0.33994;;;;0.346708;;0.3061111111111111;0.32930000000000004
-1.0000000000000036;;;;;0.33949;;;;0.346362;;0.3043455555555556;0.32989
-1.0;;;;0.38482;0.33904;;;;0.34601600000000005;;0.30258;0.33042875000000005
-0.9999999999999998;;;;0.3848475;0.338625;;;;0.34567000000000003;;0.30403500000000006;0.3309675
-0.9999999999999996;;;;0.38487499999999997;0.33821;;;;0.34523750000000003;;0.30549000000000004;0.33150625
-0.9999999999999991;;;;0.3849025;0.3380025;;;;0.34480500000000003;;0.30621750000000003;0.33204500000000003
-0.9;;;;0.38493;0.337795;;;;0.3443725;;0.306945;0.33258375
-0.8999999999999997;;;;0.384952;0.33758750000000004;;;;0.34394;;0.3076725;0.3331225
-0.8999999999999995;;;;0.384974;0.33738;;;;0.34336333333333335;;0.3084;0.33366125
-0.899999999999999;;;;0.384996;0.337214;;;;0.3427866666666667;;0.308982;0.3342
-0.8000000000000007;;0.31668;;0.38501799999999997;0.337048;;;0.40697;0.34221;;0.309564;0.334631
-0.8;;0.317938;;0.38504;0.336882;;;0.405236;0.3432775;;0.310146;0.33506199999999997
-0.7999999999999996;;0.3181896;;0.385062;0.336716;;;0.4048892;0.344345;;0.310728;0.335493
-0.7999999999999994;;0.3184412;;0.385084;0.33655;;;0.40454239999999997;0.344772;;0.31131;0.33592399999999994
-0.7999999999999989;;0.3186928;;0.385106;0.336384;;;0.4041956;0.34519900000000003;;0.311892;0.33635499999999996
-0.7000000000000028;;0.31894439999999996;;0.38512799999999997;0.336218;;;0.40384879999999995;0.345626;;0.312474;0.33851
-0.7000000000000001;;0.319196;;0.38515;0.336052;;;0.40350199999999997;0.346053;;0.313056;0.33766874999999996
-0.6999999999999995;;0.3195105;;0.385205;0.335886;;;0.4030685;0.34648;;0.313638;0.33682749999999995
-0.6999999999999993;;0.319825;;0.38526;0.33572;;;0.40263499999999997;0.34701375;;0.31422;0.33598625
-0.6999999999999988;;0.3201395;;0.3871283333333333;0.336636875;;;0.4022015;0.3475475;;0.3142525;0.33514499999999997
-0.6000000000000001;;0.320454;;0.38899666666666666;0.33755375;;;0.401768;0.34808125;;0.31428500000000004;0.33430374999999996
-0.5999999999999994;;0.3207685;;0.38993083333333334;0.338470625;;;0.40133450000000004;0.348615;;0.3143175;0.3334625
-0.5999999999999992;;0.321083;;0.390865;0.3393875;;;0.400901;0.34914875;;0.31435;0.33262125
-0.5999999999999988;;0.3213975;;0.39179916666666664;0.340121;;;0.4004675;0.3496825;;0.314376;0.33177999999999996
-0.5000000000000001;;0.321712;;0.3927333333333333;0.3408545;;;0.400034;0.35021625;;0.314402;0.331107
-0.5;0.32039;0.32297;;0.39348066666666665;0.341588;;;0.3996872;0.35075;0.32294;0.314428;0.330434
-0.49999999999999933;0.3216758333333333;0.32391;;0.39422799999999997;0.3423215;;;0.3993404;0.34899;0.32318958333333336;0.314454;0.32976099999999997
-0.4999999999999991;0.32296166666666665;0.32484999999999997;;0.39497533333333334;0.343055;;;0.3989936;0.3486966666666667;0.32343916666666667;0.31448;0.329088
-0.49999999999999867;0.3242475;0.32578999999999997;;0.39572266666666667;0.34366625;;;0.39864679999999997;0.34840333333333334;0.32368874999999997;0.3145016666666667;0.328415
-0.40000000000000213;0.32553333333333334;0.32672999999999996;;0.39647;0.3442775;;;0.3983;0.34811000000000003;0.32393833333333333;0.3145233333333333;0.32505
-0.40000000000000013;0.32681916666666666;0.32766999999999996;;0.3908475;0.34488874999999997;;;0.39672999999999997;0.3478166666666667;0.3241879166666667;0.31454499999999996;0.3248805
-0.4;0.328105;0.32860999999999996;;0.389723;0.3455;;;0.396416;0.34752333333333335;0.3244375;0.31456666666666666;0.324711
-0.39999999999999925;0.329648;0.32954999999999995;;0.3885985;0.34611125;;;0.39610199999999995;0.34723000000000004;0.324737;0.31458833333333336;0.3245415
-0.399999999999999;0.331191;0.33049;;0.387474;0.3467225;;;0.395788;0.346878;0.3250365;0.31461;0.324372
-0.3999999999999986;0.332734;0.33143;0.36237;0.3863495;0.35039;0.38347;;0.39547399999999994;0.346526;0.32533599999999996;0.31474;0.3242025
-0.30000000000000016;0.334277;0.33237;0.36560750000000003;0.385225;0.34958812499999997;0.38326499999999997;;0.39515999999999996;0.34617400000000004;0.32563549999999997;0.314951875;0.324033
-0.30000000000000004;0.33582;0.33331;0.36884500000000003;0.3842879166666666;0.34878624999999996;0.38305999999999996;;0.3948983333333333;0.345822;0.325935;0.31516375;0.3238635
-0.29999999999999916;0.3371058333333333;0.33425;0.3699241666666667;0.3833508333333333;0.347984375;0.3829916666666666;;0.39463666666666664;0.34547;0.32618458333333333;0.31537562500000005;0.323694
-0.29999999999999893;0.3383916666666667;0.33519;0.37100333333333335;0.38241375;0.3471825;0.3829233333333333;;0.394375;0.34521857142857143;0.32643416666666664;0.3155875;0.3235245
-0.2999999999999985;0.3396775;0.33613;0.3720825;0.38147666666666663;0.34678156250000003;0.38285499999999995;;0.3941133333333333;0.34496714285714286;0.32668375;0.3156934375;0.323355
-0.20000000000000284;0.34096333333333334;0.33707;0.37316166666666667;0.38053958333333326;0.346380625;0.38278666666666666;;0.39385166666666666;0.3447157142857143;0.32693333333333335;0.315799375;0.3232490625
-0.20000000000000018;0.3422491666666667;0.3339525;0.37424083333333336;0.37960249999999995;0.3459796875;0.3827183333333333;;0.39359;0.3444642857142857;0.32718291666666666;0.31590531250000004;0.323143125
-0.20000000000000007;0.34353500000000003;0.33356281249999997;0.37532;0.37879928571428567;0.34557875000000005;0.38265;;0.39336571428571426;0.34421285714285715;0.3274325;0.31601125;0.3230371875
-0.2;0.34482083333333335;0.33317312499999996;0.376129375;0.3779960714285714;0.3451778125;0.38259875;;0.3931414285714286;0.3439614285714286;0.32818125;0.3161171875;0.32293125
-0.1999999999999993;0.3461066666666667;0.3327834375;0.37693875;0.3771928571428571;0.34477687500000004;0.3825475;0.37791;0.39291714285714285;0.34371;0.32893;0.31622312500000005;0.3228253125
-0.19999999999999907;0.3473925;0.33239375;0.377748125;0.3763896428571428;0.3443759375;0.38249625;0.37709607142857143;0.3926928571428571;0.34283;0.3290522222222222;0.31632906250000004;0.32271937500000003
-0.19999999999999885;0.34867833333333337;0.3320040625;0.3785575;0.37558642857142854;0.34397500000000003;0.38244500000000003;0.3762821428571429;0.3924685714285714;0.34270428571428574;0.32917444444444444;0.316435;0.3226134375
-0.1999999999999984;0.3499641666666667;0.331614375;0.379366875;0.37478321428571426;0.34351678571428573;0.38239375000000003;0.3754682142857143;0.3922442857142857;0.34257857142857145;0.3292966666666667;0.31655607142857145;0.3225075
-0.10000000000000142;0.35125;0.3312246875;0.38017625;0.37398;0.34305857142857143;0.38234250000000003;0.3746542857142857;0.39202;0.34245285714285717;0.32941888888888887;0.3166771428571429;0.32166
