;2perc/csv/2percA Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_5.csv;2perc/csv/2percB Specimen_RawData_4.csv;2perc/csv/2percA Specimen_RawData_1.csv;2perc/csv/2percB Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_1.csv;2perc/csv/2percA Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_6.csv
-2.1999999999999993;-0.017643333333333334;;-0.0188;-0.00404;-0.024680625;-0.025115000000000002;-0.00706;-0.02436666666666667;-0.0376
-2.199999999999999;-0.017112500000000003;;-0.018816;-0.0038900000000000002;-0.02451375;-0.0243375;-0.007946;-0.023573333333333335;-0.037021
-2.1999999999999957;-0.01631625;;-0.018832;-0.0037400000000000003;-0.024346875;-0.02356;-0.008832;-0.02278;-0.036442
-2.1000000000000014;-0.01552;;-0.018848;-0.0035900000000000003;-0.02418;-0.022782500000000004;-0.009718000000000001;-0.023522500000000002;-0.035863
-2.0999999999999996;-0.01706416666666667;;-0.018864000000000002;-0.00344;-0.020955;-0.022005000000000004;-0.010604;-0.024265000000000002;-0.035284
-2.099999999999999;-0.018608333333333334;;-0.01888;-0.00329;-0.02031;-0.021227500000000003;-0.01149;-0.024562;-0.034705
-2.0999999999999988;-0.0201525;;-0.01892;-0.00304;-0.019665000000000002;-0.019283750000000002;-0.012376;-0.024859000000000003;-0.034126000000000004
-2.0000000000000036;-0.021079;;-0.01896;-0.00279;-0.01902;-0.01734;-0.013262;-0.025156;-0.033547
-2.0;-0.0220055;;-0.017999166666666667;-0.00254;-0.018375;-0.018803333333333335;-0.014148;-0.025453000000000003;-0.032968000000000004
-1.9999999999999996;-0.022932;;-0.017038333333333336;-0.0032812500000000003;-0.01773;-0.020266666666666665;-0.015034;-0.025750000000000002;-0.032389
-1.9999999999999991;-0.0238585;;-0.0160775;-0.0040225;-0.017085;-0.02173;-0.01592;-0.026047;-0.031810000000000005
-1.9999999999999987;-0.024785;;-0.015501000000000001;-0.004319;-0.01644;-0.022608;-0.016806;-0.026344;-0.031231000000000005
-1.9000000000000021;-0.0257115;-0.0228;-0.0149245;-0.0046155;-0.015795;-0.023486;-0.017692;-0.026641;-0.030652000000000006
-1.9;-0.026638000000000002;-0.0224075;-0.014348;-0.004912;-0.01515;-0.024364;-0.018578;-0.026938;-0.030073000000000003
-1.8999999999999995;-0.0275645;-0.022342083333333332;-0.0137715;-0.0052085;-0.014505;-0.025242;-0.019464;-0.027235;-0.029494000000000003
