;4perc/csv/4percB Specimen_RawData_6.csv;4perc/csv/4percB Specimen_RawData_3.csv;4perc/csv/4percA Specimen_RawData_5.csv;4perc/csv/4percB Specimen_RawData_1.csv;4perc/csv/4percA Specimen_RawData_3.csv;4perc/csv/4percA Specimen_RawData_1.csv;4perc/csv/4percB Specimen_RawData_5.csv;4perc/csv/4percA Specimen_RawData_6.csv;4perc/csv/4percB Specimen_RawData_2.csv;4perc/csv/4percA Specimen_RawData_4.csv;4perc/csv/4percB Specimen_RawData_4.csv;4perc/csv/4percA Specimen_RawData_2.csv
-2.2;;;;;;;;;;;;
-2.1999999999999993;;;;;;-0.00208;;;0.2186;;;0.01475
-2.1;;;;;;0.0025549999999999995;;;0.21325;;;0.0245375
-2.0;;;;;;0.0071899999999999985;;;0.20789999999999997;;;0.034325
-1.9;;;;;;0.011824999999999997;;;0.20254999999999998;;;0.0441125
-1.8999999999999986;;;;;;0.014142499999999999;;;0.1972;;;0.0539
-1.8000000000000007;;;;;0.06298;0.01646;;;0.1978911111111111;;;0.05310777777777778
-1.8;;;;;0.0661625;0.015014999999999999;;;0.19858222222222222;;;0.05231555555555556
-1.7999999999999998;;;;;0.06775375;0.013569999999999999;;;0.19927333333333333;;;0.05152333333333334
-1.7;;;;;0.06934499999999999;0.012124999999999999;;;0.20031;;;0.050335000000000005
-1.6999999999999997;;;;;0.07014062499999998;0.010679999999999999;;;0.20134666666666665;;;0.049146666666666665
-1.6000000000000014;;;;;0.07093624999999999;0.0099575;;;0.20342;0.07234;;0.04677
-1.6;;;;;0.071731875;0.009235;;;0.20363916666666665;0.077705;;0.046544999999999996
-1.5999999999999999;;;;;0.0725275;0.0085125;;;0.20385833333333334;0.07949333333333333;;0.04632
-1.5999999999999996;;;;;0.07411875;0.00779;;;0.2040775;0.08128166666666667;;0.046095
-1.5;;;;;0.07571;0.0049;;;0.20429666666666665;0.08307;;0.04587
-1.4999999999999998;;;;;0.070965;0.00370625;;;0.20451583333333334;0.08485833333333334;;0.045645
-1.4999999999999996;;;;;0.06938333333333334;0.0025125;;;0.204735;0.08664666666666666;;0.04542
-1.4;;;;;0.06780166666666666;0.0017166666666666667;;;0.20495416666666666;0.088435;;0.045195
-1.3999999999999997;;;;;0.06622;0.0009208333333333334;;;0.20517333333333335;0.09022333333333334;;0.04497
-1.3999999999999995;;;;;0.065271;0.0001250000000000001;;;0.2053925;0.09201166666666666;;0.044745
-1.3000000000000007;;;;;0.064322;-0.00035249999999999984;;0.13135;0.20605;0.0938;;0.04407
-1.3;;;;;0.063373;-0.0008299999999999998;;0.132125;0.205145625;0.09491;;0.043778125
-1.2999999999999998;;;;;0.062424;-0.0013074999999999996;;0.13227999999999998;0.20424125;0.09602;;0.04348625
-1.2999999999999996;;;;;0.061475;-0.0017849999999999997;;0.132435;0.20333687500000003;0.096464;;0.04319437499999999
-1.2999999999999994;;;;;0.0591025;-0.0022624999999999998;;0.13258999999999999;0.20243250000000002;0.096908;;0.042902499999999996
-1.2000000000000028;;;;;0.05673;-0.00274;;0.132745;0.20170900000000003;0.097352;;0.042669
-1.2;;;;;0.05895583333333334;-0.0032175;;0.1329;0.2009855;0.097796;;0.042435499999999994
-1.1999999999999997;;;;;0.06118166666666667;-0.0036949999999999995;;0.13305499999999998;0.20026200000000002;0.09824;;0.042201999999999996
-1.1999999999999995;;;;;0.0634075;-0.004172499999999999;;0.13321;0.1995385;0.098684;;0.04196849999999999
-1.1999999999999993;;;;;0.06474300000000001;-0.00465;;0.13336499999999998;0.19881500000000002;0.099128;;0.041734999999999994
-1.1;;;;;0.06607850000000001;-0.0036109999999999996;;0.13352;0.1980915;0.099572;;0.0415015
-1.0999999999999999;;;;;0.067414;-0.0025719999999999996;;0.133675;0.19736800000000002;0.100016;;0.041268
-1.0999999999999996;;;;;0.0687495;-0.0015329999999999996;;0.13382999999999998;0.1966445;0.10046;;0.041034499999999995
-1.0999999999999994;;;;;0.07008500000000001;-0.0004939999999999996;;0.133985;0.195921;0.101015;;0.040801
-1.0999999999999992;;;;;0.07119791666666667;0.0005450000000000003;;0.13413999999999998;0.1951975;0.10157;;0.0405675
-1.0999999999999979;;;;0.19289;0.07231083333333334;0.0014108333333333338;;0.134295;0.19338875;0.102125;;0.03998375
-1.0;0.27588;;;0.18694;0.07342375000000001;0.0022766666666666673;;0.13445;0.19158;0.10268;;0.0394
-0.9999999999999998;0.27613166666666666;;;0.18609;0.07453666666666667;0.0031425000000000003;;0.13472499999999998;0.192394375;0.10001375;;0.039779999999999996
-0.9999999999999996;0.27638333333333337;;;0.18524;0.07564958333333333;0.004008333333333334;;0.1347642857142857;0.19320874999999998;0.0973475;;0.04016
-0.9999999999999993;0.276635;;;0.18439;0.0767625;0.004874166666666667;;0.1348035714285714;0.194023125;0.09658571428571429;;0.04054
-0.9999999999999991;0.27688666666666667;;;0.18353999999999998;0.08010125;0.00574;;0.13484285714285713;0.1948375;0.09582392857142857;;0.04092
-0.9000000000000021;0.2771383333333334;;;0.18269;0.08344;0.006482142857142857;;0.13488214285714287;0.19530285714285714;0.09506214285714286;;0.04113714285714286
