;lard/csv/margarinSpecimen_RawData_8.csv;lard/csv/margarinSpecimen_RawData_7.csv;lard/csv/margarinSpecimen_RawData_2.csv;lard/csv/margarinSpecimen_RawData_5.csv;lard/csv/margarinSpecimen_RawData_6.csv;lard/csv/margarinSpecimen_RawData_1.csv;lard/csv/margarinSpecimen_RawData_4.csv;lard/csv/margarinSpecimen_RawData_10.csv;lard/csv/margarinSpecimen_RawData_9.csv;lard/csv/margarinSpecimen_RawData_3.csv
-1.6600000000000001;0.24893;0.22419;0.18597;0.23536;0.23837;0.17394;0.21578;0.24906;0.24843;0.20615
-1.6500000000000004;0.24678;0.23073;0.18045;0.22738;0.23901;0.17769;0.20715;0.25295;0.24594;0.21013
-1.6400000000000006;0.24403;0.22944;0.17473;0.21724;0.23353;0.18266;0.19922;0.24714;0.25353;0.21272
-1.6300000000000008;0.24217;0.23447;0.17487;0.20926;0.23331;0.18711;0.19922499999999999;0.24515;0.26253;0.21139999999999998
-1.629999999999999;0.24301;0.23335;0.17884;0.20934999999999998;0.231835;0.18943;0.19923;0.24754;0.26383;0.21008
-1.620000000000001;0.24385;0.23223000000000002;0.18281;0.20944;0.23036;0.19175;0.19823;0.24993;0.26513;0.207695
-1.6199999999999992;0.244515;0.23111;0.18678;0.21203499999999997;0.22755999999999998;0.19061;0.19723;0.25368;0.26643;0.20531
-1.6100000000000012;0.24518;0.23048000000000002;0.18803999999999998;0.21463;0.22476;0.18947;0.19549499999999997;0.25743;0.2683;0.20218999999999998
-1.6099999999999994;0.2445175;0.22985;0.1893;0.213175;0.220905;0.1885825;0.19376;0.260855;0.27017;0.19907
-1.6000000000000014;0.243855;0.231515;0.18868333333333334;0.21172;0.21705;0.187695;0.19507249999999998;0.26428;0.27084;0.198745
-1.5999999999999999;0.2431925;0.23318;0.18806666666666666;0.210975;0.21621;0.18680750000000002;0.19638499999999998;0.2655025;0.27151;0.19841999999999999
-1.5999999999999996;0.24253;0.23651;0.18745;0.21023;0.21537;0.18592;0.19901;0.266725;0.27218;0.19777
-1.5900000000000016;0.24042;0.23893;0.18563000000000002;0.20874;0.21369;0.184315;0.202785;0.2679475;0.27154999999999996;0.19835
-1.5899999999999999;0.23831;0.24135;0.18381;0.205895;0.213115;0.18271;0.20656;0.26917;0.27092;0.19893
-1.58;0.23084;0.24369;0.17999;0.20305;0.21254;0.17914;0.21256;0.26966;0.26494;0.19692
